"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",111,23,149
"AR",95,29,67
"ARID3A",10,38,54
"ARNT",91,10,47
"ARNTL",141,73,99
"ASCL2",40,51,98
"ATF1",139,155,109
"ATF2",165,52,167
"ATF3",106,40,24
"BACH1",148,25,88
"BACH2",11,62,48
"BARX2",174,106,96
"BATF",75,49,15
"BCL11A",27,78,77
"BCL6",170,129,117
"BHLHE40",50,103,6
"CEBPA",87,163,10
"CEBPD",18,72,19
"CLOCK",31,151,5
"CTCF",66,7,164
"E2F2",4,9,17
"E2F3",19,122,26
"E2F4",21,3,65
"E2F6",59,87,147
"E2F7",1,113,3
"E2F8",131,152,84
"EBF1",137,66,166
"EGR1",104,96,40
"EGR2",98,118,53
"EHF",92,157,165
"ELF1",67,128,116
"ELK1",125,158,111
"ELK3",51,71,51
"ELK4",154,18,46
"EPAS1",48,112,25
"ESR1",37,94,23
"ESR2",64,76,146
"ESRRA",52,132,56
"ETS2",166,154,176
"ETV1",85,130,130
"ETV5",122,111,50
"ETV6",171,164,140
"ETV7",161,21,106
"FOS",180,136,180
"FOSL1",60,119,91
"FOSL2",3,15,4
"FOXD2",113,153,37
"FOXH1",158,93,148
"FOXK1",150,170,157
"FOXM1",115,54,128
"FOXO3",17,22,31
"FOXP1",151,45,113
"FOXP2",152,172,42
"FOXP3",146,159,133
"GATA1",144,75,108
"GATA2",78,102,154
"GATA3",76,16,7
"GATA4",160,134,114
"GLI2",118,47,123
"GLIS1",77,5,107
"GMEB1",53,133,83
"GMEB2",15,44,71
"GRHL2",32,91,39
"GTF2B",181,100,178
"GTF2I",61,17,28
"HEY1",99,30,21
"HIF1A",112,46,120
"HINFP",133,32,125
"HNF1B",28,41,43
"HNF4A",43,156,150
"HNF4G",129,13,14
"HOXA1",142,84,86
"HOXA4",167,178,101
"HOXB13",72,146,94
"HOXC6",147,165,177
"HSF1",55,98,36
"HSF2",35,140,142
"IRF2",58,28,163
"IRF3",169,174,139
"IRF4",20,97,18
"JUN",177,177,135
"JUNB",153,88,151
"JUND",178,181,181
"KLF1",6,135,131
"KLF10",162,104,174
"KLF3",176,80,64
"KLF4",159,42,63
"KLF9",26,6,137
"KMT2A",130,19,29
"LHX2",69,77,100
"MAF",105,85,95
"MAFF",84,137,16
"MAFK",24,26,110
"MECOM",172,24,160
"MEF2A",117,60,141
"MEF2C",49,131,129
"MEIS1",36,92,34
"MITF",86,1,78
"MNT",81,34,72
"MXI1",25,169,152
"MYB",45,14,11
"MYBL2",39,65,45
"MYC",157,67,168
"NANOG",5,50,62
"NFAT5",97,115,121
"NFATC1",65,126,70
"NFE2",107,160,153
"NFIC",101,162,145
"NFYA",34,81,41
"NFYB",16,70,52
"NKX2-1",22,150,38
"NR2C2",12,143,27
"NR2F2",79,180,173
"NRF1",73,33,57
"PAX5",2,116,118
"PAX6",135,124,105
"PBX1",54,53,89
"PBX3",179,121,122
"PGR",47,117,103
"POU2F1",126,179,136
"POU2F2",23,35,35
"PPARG",119,68,85
"PRDM1",80,148,12
"RARG",114,86,30
"RBPJ",96,36,132
"RELA",121,59,115
"REST",155,89,162
"RFX2",163,8,22
"RFX5",71,166,102
"RUNX1",74,27,13
"RUNX2",102,55,44
"RUNX3",116,108,172
"RXRA",68,79,66
"RXRG",109,95,170
"SETDB1",93,99,69
"SIX5",123,83,138
"SMAD3",29,114,81
"SOX17",42,48,74
"SP1",124,39,80
"SP4",83,2,175
"SPDEF",38,107,9
"SPI1",44,105,179
"SPIB",110,31,92
"SREBF1",41,109,60
"SRF",56,64,2
"STAT1",13,101,73
"STAT2",132,127,119
"STAT3",143,168,159
"STAT4",120,167,49
"STAT5A",103,43,126
"STAT5B",90,74,124
"TBP",30,175,87
"TCF12",168,120,158
"TCF21",108,56,32
"TCF3",140,176,171
"TCF4",82,145,76
"TCF7L2",57,147,155
"TEAD4",89,63,134
"TFAP2A",70,11,8
"TFAP2C",138,58,112
"TFAP4",94,20,58
"TFDP1",128,57,161
"THAP1",8,138,68
"TP63",62,139,169
"TP73",136,37,97
"USF1",33,110,20
"USF2",149,12,82
"VDR",88,69,156
"VEZF1",156,61,104
"XBP1",134,123,144
"YY1",46,149,143
"ZBTB33",63,82,90
"ZBTB7A",173,142,93
"ZBTB7B",7,171,75
"ZEB1",100,4,79
"ZFX",145,161,127
"ZKSCAN1",127,141,59
"ZNF143",175,125,55
"ZNF263",164,173,1
"ZNF384",9,144,33
"ZNF76",14,90,61
