"","P1_2020Oct","P3_2023Jan"
"AHR",12,9
"AR",5,86
"ARID3A",107,99
"ARNT",110,127
"ARNTL",36,3
"ASCL2",93,44
"ATF1",156,36
"ATF2",143,181
"ATF3",32,59
"BACH1",10,2
"BACH2",44,1
"BARX2",162,125
"BATF",80,123
"BCL11A",132,14
"BCL6",11,110
"BHLHE40",23,151
"CEBPA",87,31
"CEBPD",157,133
"CLOCK",161,84
"CTCF",146,153
"E2F2",59,5
"E2F3",119,176
"E2F4",45,33
"E2F6",122,106
"E2F7",139,140
"E2F8",127,118
"EBF1",112,121
"EGR1",151,155
"EGR2",29,96
"EHF",91,15
"ELF1",33,18
"ELK1",159,107
"ELK3",126,23
"ELK4",73,147
"EPAS1",20,11
"ESR1",53,79
"ESR2",69,26
"ESRRA",13,4
"ETS2",62,146
"ETV1",173,63
"ETV5",99,45
"ETV6",178,169
"ETV7",48,114
"FOS",168,61
"FOSL1",104,17
"FOSL2",150,27
"FOXD2",92,30
"FOXH1",165,120
"FOXK1",172,167
"FOXM1",125,48
"FOXO3",136,131
"FOXP1",94,34
"FOXP2",90,81
"FOXP3",50,117
"GATA1",83,144
"GATA2",30,168
"GATA3",4,53
"GATA4",2,68
"GLI2",84,29
"GLIS1",31,75
"GMEB1",116,104
"GMEB2",19,82
"GRHL2",22,94
"GTF2B",180,173
"GTF2I",153,171
"HEY1",72,54
"HIF1A",9,51
"HINFP",108,101
"HNF1B",171,165
"HNF4A",54,102
"HNF4G",102,156
"HOXA1",51,43
"HOXA4",175,158
"HOXB13",52,97
"HOXC6",100,178
"HSF1",14,20
"HSF2",98,162
"IRF2",38,52
"IRF3",170,172
"IRF4",134,25
"JUN",131,142
"JUNB",174,170
"JUND",179,179
"KLF1",3,47
"KLF10",181,160
"KLF3",123,175
"KLF4",167,139
"KLF9",106,116
"KMT2A",60,49
"LHX2",130,159
"MAF",105,39
"MAFF",61,66
"MAFK",129,111
"MECOM",149,105
"MEF2A",177,38
"MEF2C",148,141
"MEIS1",1,135
"MITF",7,129
"MNT",118,41
"MXI1",21,130
"MYB",95,37
"MYBL2",8,40
"MYC",28,91
"NANOG",25,145
"NFAT5",163,136
"NFATC1",63,73
"NFE2",26,8
"NFIC",86,72
"NFYA",97,57
"NFYB",55,95
"NKX2-1",77,12
"NR2C2",76,112
"NR2F2",158,90
"NRF1",6,10
"PAX5",79,22
"PAX6",135,92
"PBX1",37,80
"PBX3",152,35
"PGR",154,161
"POU2F1",115,13
"POU2F2",117,71
"PPARG",142,138
"PRDM1",68,32
"RARG",47,24
"RBPJ",64,7
"RELA",176,149
"REST",113,83
"RFX2",71,21
"RFX5",144,134
"RUNX1",57,88
"RUNX2",101,62
"RUNX3",160,115
"RXRA",145,108
"RXRG",35,93
"SETDB1",81,148
"SIX5",96,77
"SMAD3",169,119
"SOX17",27,163
"SP1",155,164
"SP4",128,177
"SPDEF",109,55
"SPI1",164,157
"SPIB",34,6
"SREBF1",65,98
"SRF",40,103
"STAT1",141,174
"STAT2",58,154
"STAT3",85,128
"STAT4",75,19
"STAT5A",67,124
"STAT5B",82,85
"TBP",16,166
"TCF12",24,42
"TCF21",42,180
"TCF3",111,137
"TCF4",89,100
"TCF7L2",124,64
"TEAD4",138,132
"TFAP2A",120,46
"TFAP2C",70,76
"TFAP4",74,69
"TFDP1",56,28
"THAP1",17,113
"TP63",114,70
"TP73",18,109
"USF1",103,56
"USF2",43,67
"VDR",137,58
"VEZF1",121,126
"XBP1",78,143
"YY1",46,89
"ZBTB33",140,122
"ZBTB7A",39,150
"ZBTB7B",15,78
"ZEB1",166,65
"ZFX",66,74
"ZKSCAN1",41,16
"ZNF143",147,50
"ZNF263",133,60
"ZNF384",49,152
"ZNF76",88,87
