"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",9,67,116
"AR",5,20,2
"ARID3A",70,124,34
"ARNT",57,58,172
"ARNTL",7,100,89
"ASCL2",4,76,36
"ATF1",150,65,132
"ATF2",166,175,156
"ATF3",137,29,153
"BACH1",53,165,137
"BACH2",13,18,171
"BARX2",120,148,52
"BATF",51,43,66
"BCL11A",75,45,122
"BCL6",156,151,96
"BHLHE40",146,177,150
"CEBPA",142,87,144
"CEBPD",151,36,47
"CLOCK",135,108,10
"CTCF",126,66,175
"E2F2",48,9,26
"E2F3",54,31,67
"E2F4",63,132,24
"E2F6",170,136,20
"E2F7",83,49,165
"E2F8",68,166,170
"EBF1",128,155,167
"EGR1",153,30,131
"EGR2",173,143,117
"EHF",115,119,72
"ELF1",85,37,62
"ELK1",141,159,46
"ELK3",12,77,146
"ELK4",167,90,160
"EPAS1",45,69,3
"ESR1",34,11,91
"ESR2",18,99,129
"ESRRA",66,16,92
"ETS2",108,133,40
"ETV1",112,126,64
"ETV5",25,71,44
"ETV6",172,169,128
"ETV7",78,27,139
"FOS",179,170,7
"FOSL1",65,59,99
"FOSL2",27,57,41
"FOXD2",58,82,17
"FOXH1",123,68,133
"FOXK1",119,142,69
"FOXM1",176,150,112
"FOXO3",3,79,149
"FOXP1",60,7,74
"FOXP2",132,92,51
"FOXP3",96,130,95
"GATA1",64,23,1
"GATA2",101,63,54
"GATA3",22,81,159
"GATA4",82,72,179
"GLI2",17,14,157
"GLIS1",43,39,106
"GMEB1",131,44,177
"GMEB2",36,111,8
"GRHL2",37,50,22
"GTF2B",177,178,140
"GTF2I",67,26,130
"HEY1",52,117,141
"HIF1A",162,172,155
"HINFP",160,84,33
"HNF1B",130,144,79
"HNF4A",134,163,178
"HNF4G",30,8,30
"HOXA1",175,154,115
"HOXA4",180,180,108
"HOXB13",46,13,121
"HOXC6",140,120,173
"HSF1",72,113,142
"HSF2",178,106,85
"IRF2",148,97,87
"IRF3",74,34,145
"IRF4",154,19,100
"JUN",98,129,48
"JUNB",114,51,109
"JUND",181,181,134
"KLF1",23,22,114
"KLF10",86,149,138
"KLF3",138,88,97
"KLF4",107,139,102
"KLF9",110,89,16
"KMT2A",40,3,71
"LHX2",87,135,148
"MAF",144,140,38
"MAFF",44,4,37
"MAFK",113,78,113
"MECOM",171,174,107
"MEF2A",39,53,163
"MEF2C",106,171,90
"MEIS1",79,83,19
"MITF",81,61,118
"MNT",21,114,63
"MXI1",26,10,14
"MYB",50,40,27
"MYBL2",10,28,5
"MYC",145,118,158
"NANOG",125,103,78
"NFAT5",129,101,70
"NFATC1",149,24,93
"NFE2",47,33,166
"NFIC",15,60,57
"NFYA",42,116,43
"NFYB",32,25,161
"NKX2-1",35,38,68
"NR2C2",73,62,32
"NR2F2",71,134,169
"NRF1",14,96,61
"PAX5",109,158,6
"PAX6",163,128,29
"PBX1",38,112,111
"PBX3",169,145,75
"PGR",84,107,105
"POU2F1",31,80,136
"POU2F2",24,73,12
"PPARG",1,86,9
"PRDM1",41,42,86
"RARG",56,41,98
"RBPJ",95,127,174
"RELA",161,164,143
"REST",152,46,65
"RFX2",117,98,84
"RFX5",111,17,119
"RUNX1",90,70,13
"RUNX2",2,55,123
"RUNX3",88,2,151
"RXRA",103,35,135
"RXRG",168,179,83
"SETDB1",139,153,77
"SIX5",102,47,162
"SMAD3",164,21,176
"SOX17",11,32,101
"SP1",174,56,120
"SP4",76,110,59
"SPDEF",28,5,73
"SPI1",147,147,110
"SPIB",92,6,49
"SREBF1",20,152,147
"SRF",80,12,4
"STAT1",122,157,80
"STAT2",89,95,125
"STAT3",158,146,56
"STAT4",8,125,82
"STAT5A",62,161,23
"STAT5B",136,168,127
"TBP",127,123,152
"TCF12",143,122,154
"TCF21",19,131,76
"TCF3",99,173,164
"TCF4",6,115,25
"TCF7L2",165,109,104
"TEAD4",133,64,124
"TFAP2A",16,15,53
"TFAP2C",155,162,28
"TFAP4",77,52,81
"TFDP1",124,121,181
"THAP1",97,1,18
"TP63",59,137,39
"TP73",121,93,88
"USF1",61,138,50
"USF2",94,48,94
"VDR",157,75,126
"VEZF1",49,91,58
"XBP1",159,54,31
"YY1",69,176,180
"ZBTB33",104,102,55
"ZBTB7A",118,85,45
"ZBTB7B",91,156,42
"ZEB1",116,141,168
"ZFX",105,167,103
"ZKSCAN1",93,74,15
"ZNF143",33,94,11
"ZNF263",100,160,21
"ZNF384",29,104,35
"ZNF76",55,105,60
