"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",60,64,93
"AR",47,19,37
"ARID3A",44,152,26
"ARNT",102,6,161
"ARNTL",122,22,70
"ASCL2",112,100,85
"ATF1",173,121,160
"ATF2",133,161,165
"ATF3",8,13,53
"BACH1",121,126,95
"BACH2",125,37,170
"BARX2",11,127,29
"BATF",18,151,103
"BCL11A",14,103,164
"BCL6",116,78,124
"BHLHE40",92,52,30
"CEBPA",37,31,35
"CEBPD",68,24,57
"CLOCK",30,35,28
"CTCF",158,133,154
"E2F2",64,1,7
"E2F3",115,32,17
"E2F4",87,50,99
"E2F6",128,42,59
"E2F7",25,65,15
"E2F8",169,162,27
"EBF1",152,89,97
"EGR1",141,45,49
"EGR2",135,29,60
"EHF",174,87,166
"ELF1",27,17,150
"ELK1",26,86,101
"ELK3",33,49,71
"ELK4",137,80,144
"EPAS1",86,63,5
"ESR1",57,26,9
"ESR2",45,112,23
"ESRRA",98,44,54
"ETS2",175,150,169
"ETV1",58,39,133
"ETV5",5,116,77
"ETV6",176,168,180
"ETV7",6,107,130
"FOS",69,73,10
"FOSL1",142,120,104
"FOSL2",106,7,143
"FOXD2",49,3,25
"FOXH1",180,81,137
"FOXK1",83,95,67
"FOXM1",104,142,145
"FOXO3",38,10,50
"FOXP1",156,141,55
"FOXP2",66,160,179
"FOXP3",85,153,146
"GATA1",130,138,31
"GATA2",103,70,107
"GATA3",4,36,139
"GATA4",24,74,63
"GLI2",146,98,88
"GLIS1",105,28,44
"GMEB1",84,122,148
"GMEB2",139,60,1
"GRHL2",161,114,127
"GTF2B",126,176,138
"GTF2I",51,30,42
"HEY1",20,117,81
"HIF1A",50,174,140
"HINFP",2,94,87
"HNF1B",172,173,4
"HNF4A",71,23,116
"HNF4G",9,16,96
"HOXA1",114,105,147
"HOXA4",170,129,51
"HOXB13",46,58,91
"HOXC6",149,163,106
"HSF1",52,9,121
"HSF2",144,66,94
"IRF2",107,124,90
"IRF3",157,156,128
"IRF4",119,131,21
"JUN",70,104,62
"JUNB",101,158,72
"JUND",177,180,181
"KLF1",63,20,12
"KLF10",40,91,52
"KLF3",91,172,177
"KLF4",136,62,172
"KLF9",124,136,157
"KMT2A",13,2,158
"LHX2",89,56,113
"MAF",148,99,24
"MAFF",7,85,18
"MAFK",166,33,111
"MECOM",171,68,132
"MEF2A",93,77,142
"MEF2C",29,88,125
"MEIS1",53,38,33
"MITF",31,67,163
"MNT",1,55,174
"MXI1",16,8,58
"MYB",62,82,11
"MYBL2",100,11,115
"MYC",65,146,32
"NANOG",35,119,66
"NFAT5",17,57,108
"NFATC1",81,27,34
"NFE2",129,46,92
"NFIC",108,76,131
"NFYA",41,143,159
"NFYB",19,51,129
"NKX2-1",94,175,16
"NR2C2",43,83,19
"NR2F2",32,177,123
"NRF1",21,79,76
"PAX5",34,53,152
"PAX6",131,139,120
"PBX1",150,140,89
"PBX3",127,111,149
"PGR",151,93,61
"POU2F1",67,97,168
"POU2F2",88,109,2
"PPARG",111,128,118
"PRDM1",77,84,41
"RARG",28,5,3
"RBPJ",164,159,167
"RELA",73,178,86
"REST",143,164,119
"RFX2",138,165,43
"RFX5",179,181,141
"RUNX1",72,59,6
"RUNX2",118,157,74
"RUNX3",113,137,126
"RXRA",74,115,171
"RXRG",78,96,80
"SETDB1",23,113,38
"SIX5",132,18,110
"SMAD3",12,130,39
"SOX17",15,179,98
"SP1",97,125,40
"SP4",155,134,36
"SPDEF",10,12,68
"SPI1",56,170,135
"SPIB",147,25,112
"SREBF1",22,92,45
"SRF",48,166,14
"STAT1",134,61,75
"STAT2",117,106,69
"STAT3",181,171,82
"STAT4",54,54,105
"STAT5A",59,21,117
"STAT5B",36,101,65
"TBP",178,135,13
"TCF12",120,75,136
"TCF21",79,108,8
"TCF3",167,90,114
"TCF4",159,102,83
"TCF7L2",76,72,178
"TEAD4",154,149,175
"TFAP2A",3,48,134
"TFAP2C",99,41,56
"TFAP4",80,118,176
"TFDP1",90,47,162
"THAP1",110,69,20
"TP63",109,40,48
"TP73",39,15,156
"USF1",123,169,153
"USF2",96,4,173
"VDR",145,167,109
"VEZF1",82,71,46
"XBP1",61,148,84
"YY1",162,145,151
"ZBTB33",160,154,78
"ZBTB7A",55,110,102
"ZBTB7B",95,132,79
"ZEB1",165,144,155
"ZFX",163,147,100
"ZKSCAN1",153,43,73
"ZNF143",42,123,64
"ZNF263",140,155,122
"ZNF384",168,34,22
"ZNF76",75,14,47
