"","P1_2020Oct","P2_2021Mar"
"AHR",79,58
"AR",23,1
"ARID3A",92,126
"ARNT",83,74
"ARNTL",18,75
"ASCL2",82,52
"ATF1",131,113
"ATF2",149,109
"ATF3",108,44
"BACH1",63,27
"BACH2",46,5
"BARX2",158,105
"BATF",174,72
"BCL11A",126,21
"BCL6",161,45
"BHLHE40",133,22
"CEBPA",136,64
"CEBPD",74,14
"CLOCK",6,8
"CTCF",132,143
"E2F2",81,139
"E2F3",43,62
"E2F4",58,73
"E2F6",52,162
"E2F7",4,63
"E2F8",135,169
"EBF1",156,19
"EGR1",171,166
"EGR2",165,147
"EHF",113,136
"ELF1",72,25
"ELK1",35,106
"ELK3",125,160
"ELK4",71,46
"EPAS1",157,134
"ESR1",5,156
"ESR2",39,89
"ESRRA",62,6
"ETS2",177,76
"ETV1",170,172
"ETV5",50,163
"ETV6",172,117
"ETV7",105,35
"FOS",143,119
"FOSL1",78,138
"FOSL2",29,11
"FOXD2",31,55
"FOXH1",41,28
"FOXK1",167,85
"FOXM1",142,174
"FOXO3",151,107
"FOXP1",68,38
"FOXP2",144,125
"FOXP3",163,168
"GATA1",59,92
"GATA2",118,171
"GATA3",97,137
"GATA4",17,43
"GLI2",12,51
"GLIS1",66,18
"GMEB1",139,80
"GMEB2",61,26
"GRHL2",153,47
"GTF2B",179,180
"GTF2I",64,3
"HEY1",8,59
"HIF1A",30,81
"HINFP",36,131
"HNF1B",101,114
"HNF4A",80,132
"HNF4G",107,146
"HOXA1",76,144
"HOXA4",180,154
"HOXB13",3,104
"HOXC6",164,40
"HSF1",20,88
"HSF2",91,54
"IRF2",109,30
"IRF3",14,90
"IRF4",60,68
"JUN",73,77
"JUNB",173,173
"JUND",181,181
"KLF1",40,17
"KLF10",176,127
"KLF3",159,159
"KLF4",110,130
"KLF9",128,53
"KMT2A",104,49
"LHX2",53,167
"MAF",48,145
"MAFF",93,95
"MAFK",26,110
"MECOM",134,112
"MEF2A",145,20
"MEF2C",65,13
"MEIS1",116,151
"MITF",137,82
"MNT",47,148
"MXI1",10,121
"MYB",33,175
"MYBL2",55,23
"MYC",150,141
"NANOG",146,79
"NFAT5",95,135
"NFATC1",154,32
"NFE2",102,111
"NFIC",45,98
"NFYA",127,86
"NFYB",98,99
"NKX2-1",13,84
"NR2C2",11,39
"NR2F2",88,161
"NRF1",27,66
"PAX5",114,120
"PAX6",1,94
"PBX1",54,56
"PBX3",56,102
"PGR",16,24
"POU2F1",21,150
"POU2F2",7,116
"PPARG",119,57
"PRDM1",120,179
"RARG",124,34
"RBPJ",148,108
"RELA",75,140
"REST",67,83
"RFX2",15,29
"RFX5",112,60
"RUNX1",77,97
"RUNX2",34,41
"RUNX3",106,91
"RXRA",57,10
"RXRG",69,155
"SETDB1",44,118
"SIX5",96,142
"SMAD3",178,153
"SOX17",138,7
"SP1",130,67
"SP4",22,69
"SPDEF",90,12
"SPI1",115,149
"SPIB",123,65
"SREBF1",122,48
"SRF",87,177
"STAT1",32,16
"STAT2",99,158
"STAT3",166,152
"STAT4",89,71
"STAT5A",152,31
"STAT5B",111,42
"TBP",94,100
"TCF12",49,70
"TCF21",141,9
"TCF3",103,165
"TCF4",168,123
"TCF7L2",37,101
"TEAD4",86,37
"TFAP2A",121,164
"TFAP2C",42,176
"TFAP4",147,129
"TFDP1",117,2
"THAP1",2,4
"TP63",24,178
"TP73",84,115
"USF1",169,133
"USF2",19,61
"VDR",160,122
"VEZF1",162,50
"XBP1",9,170
"YY1",175,157
"ZBTB33",28,93
"ZBTB7A",140,78
"ZBTB7B",25,36
"ZEB1",38,33
"ZFX",155,124
"ZKSCAN1",129,87
"ZNF143",100,128
"ZNF263",70,96
"ZNF384",85,15
"ZNF76",51,103
