"","P1_2020Oct","P3_2023Jan"
"ARID3A",0.330065084334002,0.488279565314763
"ASCL2",-0.444009032276508,-0.48298137225091
"E2F1",-0.488455693666217,-0.328047917921663
"E2F3",0.583705288861456,-0.353644556952396
"E2F6",0.576698953072618,-0.351601996023075
"EGR1",-0.37054487178932,0.33157042572134
"EHF",-0.578141691298866,-0.319753857281361
"ESR1",0.438256452629704,0.437220979987116
"ETV4",-0.335912155022914,-0.436192379265182
"ETV6",0.554280078415625,0.441784637521194
"FOXO3",-0.346438282130246,-0.560719576385251
"GATA3",-0.482041676724661,-0.524993792791026
"GMEB1",0.480583189991395,-0.538948294655081
"GTF2I",0.487724263006942,0.488675695808326
"KLF5",0.559783306701314,0.337089899705039
"MAFF",-0.575683174369965,0.333484986723491
"MEIS1",-0.524747253171839,0.32116980418813
"MYB",0.30034852650834,-0.354466098968614
"NFATC1",0.408287918691756,-0.374605590777571
"PPARG",-0.403963203681238,0.335146475974211
"SNAI2",0.593155267989234,0.354002203807725
"SRF",-0.375757627612235,-0.550490458022433
"TCF12",0.322844393866309,-0.449310698598474
"TCF21",0.314784657941386,-0.471811496253432
"TFAP2A",-0.596891163820695,0.333099313740318
"USF1",0.448583973565199,0.365549386780065
"ZBTB7A",-0.317483777060838,-0.314229363692674
"ZBTB7B",0.323570575023244,-0.364262276401297
"ZNF143",0.507305781649549,0.307047982157839
"ZNF263",0.375006948777717,0.470559941409989
