"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"FOXA2",0.307429135547544,0.421898609981027,0.376700947094069
"FOXP2",-0.381616034406026,-0.31349409267139,-0.462051491983036
"GTF2I",0.325034067281343,0.321823433191811,0.356899377141659
"HES1",0.324286223021524,0.311128232576935,0.478309066963998
"HNF4A",-0.310110634800526,0.312435428512061,0.459044847909597
"HNF4G",0.611248018817844,-0.36787639261693,0.30153074003255
"KLF1",0.515018201321721,0.319151342628983,0.412681355535769
"MYB",-0.432564520212701,0.32412689321874,0.442085872013369
"REST",0.40167974073391,0.364530082146415,-0.390333345968411
"STAT2",0.513990850820004,0.373765078441409,0.418180348540872
"TBX21",-0.394749966687728,-0.323448826731548,-0.366707353664626
"TEAD4",-0.461083840567145,-0.355397875003749,-0.446007229726072
"TP73",-0.508559406297321,-0.31435615387824,0.352304950352073
"VDR",-0.554605088520715,-0.324965447550837,-0.374347987916251
"ZNF76",-0.419277409707093,0.316373684828628,0.386700206891189
