"","P1_2020Oct","P3_2023Jan"
"E2F6",0.57079103340604,-0.528016594652261
"EBF1",0.439157683339812,-0.304110823502251
"ELF1",-0.54698369143103,-0.407931807935987
"ELK1",-0.5999265385915,0.393450340150165
"FOXH1",0.512212036722379,0.449816668608825
"GMEB2",-0.315747567823813,0.493261071966289
"HES1",0.462934226683548,0.379191664176434
"HOXA1",-0.48372330279368,0.316809956791356
"IRF2",0.400012622990215,0.470981890757333
"KLF9",0.42659184177991,-0.423081651158077
"MEF2C",0.422957603289546,0.397015009143598
"NFATC1",0.492131329131555,0.505960205255394
"NR2F2",0.404632417681355,-0.322602543905685
"NRF1",-0.501309321251288,0.394564299210613
"POU2F2",-0.37004555476035,0.367829281759866
"PRDM1",0.463642595202856,-0.430656572769122
"STAT3",-0.362068709260315,0.352456646725686
"STAT5A",-0.377098441322158,0.494375031026737
"TBX21",-0.492962892175961,0.439345453440615
"TP63",-0.309988223775525,0.373176285250015
"ZNF263",0.45104595501168,-0.419962565788823
