"","P1_2020Oct","P3_2023Jan"
"AHR",-0.325573696525389,-0.394657824045742
"CTCF",0.364434379871179,-0.462103577393661
"E2F1",-0.496135760750691,0.430717929796115
"E2F2",-0.42481932443623,-0.417139741828382
"E2F3",0.432856280342134,0.58208133664953
"E2F7",0.580877916509499,0.587646167783846
"E2F8",-0.45354913232975,0.387089653703071
"ELK4",-0.321447443301668,0.64885931026133
"ETV5",0.54700568855358,0.378185923888165
"FOSL2",-0.518706981743135,-0.479688443778102
"FOXA2",-0.435566058578608,-0.491263292537481
"FOXM1",0.663279809245897,-0.485030681667046
"GATA1",-0.342879325717412,-0.427379031115525
"HIF1A",-0.423187298907445,0.455648373277854
"IRF1",-0.3410933355161,0.52954933074158
"IRF3",-0.399723082814345,0.525765245570244
"JUND",0.342078709420272,0.594769151635772
"KLF10",-0.327020964447141,0.64218151290015
"MECOM",0.342109502354778,0.600333982770088
"MYB",0.533487590305718,-0.467223222037232
"NFIC",0.320646827004528,-0.487701800611518
"NFYA",0.583033421924875,0.395770790272606
"NFYB",0.504511438936155,0.588091354274592
"NKX2-1",0.424942496174252,-0.633500376330616
"NR2F2",-0.324526736752206,-0.368837007582513
"PBX1",0.61459617979289,-0.598108050316362
"PBX3",-0.550546876021699,-0.58631060831161
"POU2F1",-0.421770823920197,-0.393767451064252
"POU2F2",0.31716722540542,0.386421873966953
"RUNX2",-0.343464391473015,-0.612576611265585
"SIX5",-0.49120889122983,0.485030681667046
"SMAD3",-0.342017123551262,0.480578816759593
"SP1",0.573364440490186,0.586755794802356
"SRF",0.48594329942941,0.449638355652792
"STAT5B",0.44101640798606,-0.360601057503724
"TEAD4",-0.387867803029773,-0.499944429107015
"TFAP2A",-0.331947833968002,-0.515748549528474
"TP73",0.347313508286187,-0.473455832907667
"ZBTB33",0.455489087203589,0.590317286728318
"ZNF76",-0.592456059883522,-0.351697327688817
