"","P1_2020Oct","P3_2023Jan"
"AHR",0.630830781220607,0.343135828697879
"BACH1",0.302821266062865,-0.405468056572853
"BACH2",-0.419963756229083,-0.474033507235325
"ELF1",0.464497845751906,0.457555581648574
"ELK3",-0.616172046091621,0.400222275019019
"ESR1",-0.564569959918352,-0.498657822999795
"ESR2",-0.612754456660889,-0.483907919571955
"ETV1",0.319856499754866,0.31178456952908
"ETV6",0.616773858112199,0.635418433862115
"FOXO3",0.622058382643266,0.527663909238644
"GATA3",-0.387320945098278,-0.49372061683148
"GLI2",-0.389170309044728,-0.367389853999725
"HNF4A",-0.364179735431063,-0.457740726879886
"HNF4G",0.553381527681754,-0.724226429814678
"HOXB13",-0.384900518650549,-0.328447640347142
"HSF2",0.312094442525942,0.465208251209462
"IRF1",0.38114029171905,0.404912620878918
"IRF2",-0.36497043735591,-0.67220061981606
"JUN",-0.304121531450392,-0.525133591077383
"JUND",0.486066437146368,0.519640949215133
"KMT2A",-0.384399740764812,0.472922635847454
"MAFK",-0.514966592499559,0.308266810134155
"MAX",-0.33782739739127,-0.386583242979049
"MEF2C",0.531698723787035,0.440583935444992
"MEIS1",0.398412735988506,0.425587171708736
"MYBL2",-0.337150907966678,0.407134363654659
"PAX5",-0.330807721414009,-0.376215110025588
"PAX6",-0.360015371960197,0.63486299816818
"PBX1",-0.333733318535947,0.309315966444922
"RFX2",-0.483786579929723,-0.43348670157804
"SIX5",-0.516649030484097,-0.415157323678171
"STAT5A",-0.330579296413498,0.677878406909622
"TBX21",-0.625186048034887,-0.496374365146949
"TCF12",-0.404114575424354,-0.382263187581774
"TFAP2A",-0.571457852241471,-0.544450410210915
"TFAP4",-0.416185958143698,-0.422809993239059
"TP63",-0.387878829234143,-0.332829410821522
"VDR",0.330443119970885,-0.421328831388564
"ZBTB33",-0.55981257000385,-0.501743576854992
