"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARNTL",0.503440607278175,0.414105105806693,0.70717121964304
"ASCL2",-0.617383845323536,-0.584943312294556,-0.668180556597027
"ATF3",-0.560232792443091,-0.423633270255488,-0.718031384322485
"E2F2",-0.632357321233775,-0.476590425123925,-0.632091192821884
"E2F6",0.485169991802283,0.453633428579773,0.562507840295196
"ELK1",0.442094027762327,-0.448274010990097,-0.58046002716839
"GLI2",-0.479479443483671,0.330731771050995,0.507392530295898
"HINFP",-0.339897673342866,-0.432166011765257,-0.62459719414534
"KLF3",0.492805785187061,-0.480022484529179,-0.590877023599772
"MAF",-0.513738860363237,-0.360442273826035,-0.540545726445492
"MYB",-0.469863750933387,-0.374177079139495,-0.590122024196258
"NFE2",0.52563124701029,0.440731997986265,-0.634858954640523
"NR2F2",-0.410305870019119,0.319282477569375,0.614340355804581
"POU2F1",-0.488945715887172,0.489793540751464,-0.718506293928468
"TFAP4",-0.430824997628762,0.482566257888993,-0.742805635255119
"ZBTB7A",0.345510188521353,-0.368784845656987,-0.302007497372989
