"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARNT",0.539491650387629,0.348956269149879,0.475975716320353
"E2F7",0.489523050204172,-0.317665934081238,0.667533970471146
"ESR1",-0.45906517639253,0.364431806267528,0.654697890657842
"ESRRA",-0.631487344663996,-0.474602451660208,0.491818445459295
"ETV1",0.372169852985381,0.493095861036978,-0.372940156737886
"FOXA2",-0.366861738657402,-0.546616077240094,0.346863255855903
"GATA3",-0.39768294222845,-0.398015754921476,0.660884649847137
"GMEB2",-0.453304670212696,-0.433831633142932,-0.572882336892864
"HINFP",0.324553227417635,0.324896004449008,-0.457357618573128
"MAFF",-0.544235840977337,-0.509471241061643,0.635732871834582
"POU2F2",-0.319833276969296,-0.552414763618001,0.626770744037005
"RUNX1",-0.31576379301114,-0.459606204214809,0.53743856695793
"TCF12",0.541883866361626,0.339911330915875,-0.560277537796917
"TCF3",0.411099996657168,0.514834360435664,-0.763284187456873
"TFAP2A",-0.494956995378362,0.320166644609141,0.411101475101762
"THAP1",-0.44727759056808,-0.325678276040323,0.559525875465507
