"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AR",-0.651355390133861,-0.664717041559465,0.349234260716186
"ESRRA",-0.326117897402304,-0.572876290268632,0.362185215992676
"ETV1",-0.815740281627017,0.529154484947862,0.430790380597122
"FOSL2",0.881655023238897,-0.340143997340895,-0.401024585218464
"GATA4",-0.405873667595502,-0.590273491967154,0.301735856184948
"GMEB1",0.733384205113351,0.634810661116932,0.409812802302019
"HNF4A",0.597332336660596,-0.359221846931862,0.379657533502807
"MAX",-0.536593307355531,-0.631054163476147,-0.368686722795166
"MEIS1",0.565038381899481,-0.347324191059606,0.320590611529416
"MNT",-0.442606996211534,0.74028379642643,-0.387981081802436
"NFE2",0.801829887829216,-0.463388736107132,0.3400623544708
"NR2C2",0.761098276991287,-0.498936103040147,0.322354810439344
"SIX5",0.41301828489326,-0.695584386514757,-0.352924617780233
"SOX17",0.794591004980853,0.312342586783454,0.379977595818707
"SP4",0.681063267336863,0.685883220957379,0.388358986705547
