"","P1_2020Oct","P2_2021Mar"
"CDX2",0.494417048563142,0.342074456146553
"CEBPB",-0.359272631431048,0.42543697997759
"E2F4",-0.421662557500044,-0.345418403278133
"E2F7",-0.479015498712094,-0.383004746884217
"EGR1",0.447419866427611,0.367286306130127
"ELK1",-0.437398732219211,-0.361202967280587
"ETV1",0.35571504072789,0.52227920029666
"FOXM1",0.378645650111611,0.37493771058374
"FOXO3",0.600343431157913,0.517584449662776
"FOXP3",0.509105319090042,0.3872744194929
"GATA1",-0.668791828523376,-0.303042847254786
"IRF3",-0.558119056351867,0.398874326491712
"JUNB",0.497798520914658,0.388445745606787
"JUND",0.528355054924456,0.366955689888304
"MXI1",-0.453619232405392,0.335953332583662
"MZF1",-0.533224727347343,0.409482384765055
"NFYA",0.423115533901086,-0.463807356385711
"NKX2-1",-0.399242691336083,0.420723336987031
"NR3C1",0.315102148839363,0.448986302573712
"STAT2",-0.366872138304378,0.38003864688615
"TFAP4",0.301919690218998,0.397098444964206
"USF1",0.583911588949762,0.385744138602177
"ZKSCAN1",-0.537310673105425,0.332713293413799
