"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARNT",-0.677590656493493,-0.426192417348762,-0.324526048141253
"ASCL2",-0.498403272894411,-0.610326728900271,-0.811180314898594
"E2F1",0.529466704188732,-0.508281294506402,-0.758251090333966
"ESR2",0.342787297236953,-0.301611006756158,-0.654852018765547
"ESRRA",0.621862873119165,0.382342294986164,0.464066133277468
"ETV5",-0.454075501304079,-0.591999278377204,-0.500503061257665
"FOXO3",0.449757584016351,0.333378587662808,0.601764973180972
"FOXP2",-0.329696702942863,0.616073855360591,0.482123488309704
"GATA3",-0.644564952614889,0.537062179772256,-0.376501770710369
"GRHL2",0.339929365010154,0.37252240174294,0.440649439442875
"HNF4A",-0.657877367292604,-0.428002535918941,-0.427905392082179
"IRF1",0.656154668701788,0.324780524454456,0.667589490250413
"IRF3",0.601806081489677,0.501538602832483,0.576158512694619
"KLF1",-0.701241456982493,-0.44664675719179,-0.571798707018591
"MAX",-0.331495203463336,-0.578830665779148,-0.718835290602275
"MNT",0.44336847874015,-0.478504844026949,-0.509485707642965
"MYBL2",0.546895961561824,-0.483618428987706,0.324874569560302
"NFAT5",-0.710523004311361,0.314734366389959,0.410887025431258
"NFE2",0.408979337521548,0.524255590888236,0.685232565105288
"NFYA",-0.397465223885544,-0.553353246903871,-0.715343500535954
"PPARG",0.811270551102278,0.75300932519467,0.776433387006993
"RXRG",0.487889345772343,0.456692915256286,0.573304582583916
"SIX5",-0.462568708564524,0.527332792457541,0.479368196336468
"STAT1",0.302217506048704,0.398090326546725,0.73930599206453
"STAT4",-0.428264744777403,-0.301565753791904,-0.42945072290249
"TEAD4",-0.310932334214012,0.496696535657253,0.455938350750213
"TFAP2A",-0.728093293169366,-0.322563129205986,-0.525175747376
"VDR",-0.452129187020776,0.37695719223988,-0.467866989507852
"ZNF143",0.360198801000204,-0.428274053704468,-0.633322601294483
"ZNF384",0.508901640673023,0.358448729859794,0.500437302499354
"ZNF76",-0.37296763605078,-0.45501855557887,0.536453374426359
