"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"BCL6",0.442988160277956,0.70542972494573,0.362405392850033
"E2F8",0.4371638100034,-0.373092534589028,-0.486995193919659
"ELK4",-0.474114401017728,0.782547892976452,-0.587831056669755
"GATA1",0.329611225371179,0.82334852092459,0.359669612578459
"HIF1A",0.317436067075302,0.504732296459437,0.444735280397705
"HNF1B",-0.416994034730787,-0.541321538836902,0.456908187327231
"JUN",0.376052219715122,0.415432808874832,0.33379149871153
"JUND",0.417712602674647,0.346782695701271,-0.458848223817891
"MEIS1",-0.664909151966035,-0.639179648710295,0.383489314846825
"MYBL2",-0.426863870661518,0.561925629532133,-0.668576033050482
"NFAT5",0.406799227345155,0.42729714241802,0.499832316732428
"PRDM1",-0.378549652277362,-0.814654047488361,0.377294350866482
"REST",0.422098420621835,-0.652945898317658,-0.547484874058926
"RUNX3",0.345311196826431,0.386088961027558,0.637338157353426
"SOX17",-0.580692071285251,0.771317531454656,0.448365450373447
"STAT3",-0.435215976187783,-0.64769298728327,-0.324439865187064
"TCF7L2",-0.389390811727987,-0.658742213941811,0.368403064983868
"TP73",-0.311375718500473,0.59498274207613,0.596538203495629
"ZBTB7B",0.320974645139766,0.833854342993367,0.525407916434712
"ZNF384",-0.365563561529572,-0.643300466849342,-0.578874006838305
