"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.573960950856992,0.569696147117461,-0.62762991794656
"ASCL2",-0.681073086134303,-0.35887689775922,-0.624040079949505
"ATF3",0.393736856833228,0.371003868960768,-0.439669682305912
"BARX2",-0.618702161607453,0.425665739152816,-0.551967178624027
"E2F1",0.387396518961733,-0.300459286486096,-0.583710288239007
"E2F6",0.501464754490496,-0.420552501295448,0.549744897959184
"FOXD2",0.640946004108546,-0.350777166994008,0.741018830212497
"GATA3",-0.726788306506186,0.407927781275926,-0.582013991163476
"HNF4A",-0.400568488109917,-0.309373515317084,-0.576385966757837
"HSF2",0.60261434714984,0.502771556046236,-0.446310225120976
"IRF1",0.637503359820994,0.62919975581162,0.441195034714917
"NFYA",-0.364979935864255,-0.41883300537881,-0.578858089627604
"SRF",-0.720502822750172,0.317608995759925,-0.38758415737429
"STAT1",0.567864963136273,0.501866558195374,0.753773932253314
"TEAD4",-0.306180512928957,0.484400099673743,0.510979907426888
"TP73",-0.483183174352688,0.39815380448662,0.35090995160951
"YY1",0.741698452971811,-0.361818140774521,0.444311487481591
