"","Celltype","Sample Names","Num of Samples","Protein","Num of TFs","Correlated TFs"
"1","Bcell","P1_2020Oct, P3_2023Jan","2","CD19","63","AHR,AR,BHLHE40,CDX2,CEBPA,E2F4,EGR1,ELK4,ESRRA,ETS2,ETV5,ETV7,FOXK1,FOXP1,GATA1,GMEB1,GMEB2,GTF2I,HIF1A,HINFP,HOXA4,HOXB13,HSF2,IRF4,KLF1,KLF10,KLF3,KLF5,MECOM,MEF2C,MITF,MNT,MXI1,NFATC1,NFE2,NFYA,NR2C2,NR2F2,NR3C1,PPARG,RARG,RELA,REST,RUNX2,RXRA,SETDB1,SMAD3,SNAI2,SPDEF,SREBF1,STAT1,STAT5A,TAL1,TCF3,TCF4,TCF7L2,TFAP2C,TFDP1,THAP1,XBP1,YY1,ZFX,ZNF143"
"2","Bcell","P1_2020Oct, P3_2023Jan","2","CD20","55","AHR,AR,BCL11A,BHLHE40,CDX2,CEBPA,E2F4,E2F6,EGR1,ELK4,ESRRA,ETS2,ETV5,ETV7,FOXH1,FOXK1,FOXP1,GATA1,GMEB1,GTF2I,HIF1A,HOXA4,HSF2,KLF3,MECOM,MEF2C,MITF,MNT,MXI1,NFATC1,NFYA,NR2C2,NR2F2,NR3C1,NR5A2,PBX3,PPARG,RARG,RXRA,SETDB1,SMAD3,SNAI2,SPDEF,SREBF1,STAT1,STAT5A,TAL1,TCF3,TCF7L2,TFAP2C,TFDP1,THAP1,XBP1,YY1,ZFX"
"3","Bcell","P1_2020Oct, P3_2023Jan","2","CD40","61","AHR,AR,ASCL2,ATF1,BACH2,BARX2,CEBPD,E2F1,E2F8,EGR1,EGR2,EHF,ELF1,ESR1,ETS2,ETV6,ETV7,FOSL1,FOXM1,FOXP2,GATA1,GATA4,GMEB2,HES1,HINFP,HOXA1,KLF1,KLF4,KLF5,LHX2,MAFK,MEF2A,MEF2C,MEIS1,MITF,MYC,NANOG,NFAT5,NFATC1,NFIC,NKX2-1,NR2C2,NR3C1,NR5A2,NRF1,PGR,PPARG,RBPJ,RUNX2,SETDB1,SIX5,SOX17,SP1,SPIB,STAT2,STAT4,STAT5B,THAP1,TP63,TP73,VDR"
"4","Bcell","P1_2020Oct, P3_2023Jan","2","CD45RA","56","AHR,ARNT,BCL11A,BHLHE40,CEBPA,E2F4,ELK4,EPAS1,ESRRA,ETV4,ETV5,FOXK1,FOXP1,GLI2,GMEB1,HIF1A,HOXA4,HOXB13,IRF4,KLF3,KLF5,KLF9,MECOM,MEF2C,MITF,MNT,MXI1,NFYA,NR2C2,NR2F2,NR3C1,PBX3,POU2F2,PPARG,RARG,RELA,RFX5,RUNX2,RXRA,RXRG,SMAD3,SP4,SPDEF,SREBF1,STAT1,STAT5A,TBX21,TCF3,TCF4,TCF7L2,TFAP2C,TFDP1,TP73,VEZF1,XBP1,YY1"
"5","Bcell","P1_2020Oct, P3_2023Jan","2","CD11b","61","AR,ARID3A,ASCL2,ATF1,BACH2,BCL6,CDX2,E2F1,E2F6,EGR1,EGR2,EHF,ELK3,ELK4,ETS2,ETV6,ETV7,FOSL1,FOXH1,FOXO3,FOXP2,GATA2,GATA3,GATA4,GMEB1,GMEB2,GTF2I,HES1,HINFP,HOXA1,IRF2,KLF5,LHX2,MNT,MYC,NANOG,NFAT5,NFATC1,NFE2,NFIC,NFYA,NR5A2,PGR,POU2F2,PRDM1,RXRA,RXRG,SIX5,SPI1,SPIB,SRF,STAT2,STAT4,STAT5B,TCF21,TFAP2A,TFAP4,TP73,ZBTB7B,ZNF143,ZNF263"
"6","Bcell","P1_2020Oct, P3_2023Jan","2","CD11c","45","AR,ARID3A,ARNTL,ASCL2,BHLHE40,CEBPA,E2F1,E2F3,E2F6,EGR1,EHF,ESR1,ETS2,ETV4,ETV6,ETV7,GATA3,GMEB1,GTF2I,HES1,JUND,KLF5,KMT2A,MAF,MAFF,MEIS1,MITF,MYB,NFAT5,NFATC1,NKX2-1,SIX5,SNAI2,SRF,STAT2,STAT5B,TCF21,TFAP2A,TFAP4,TP73,USF1,USF2,ZEB1,ZNF143,ZNF263"
"7","Bcell","P1_2020Oct, P3_2023Jan","2","CD14","53","AR,ARID3A,ARNTL,ASCL2,E2F1,E2F3,E2F6,EGR1,EHF,ELK1,ESR1,ETS2,ETV1,ETV4,ETV7,FOS,FOXO3,GATA3,GLIS1,GMEB1,GTF2I,HNF1B,HOXC6,IRF2,JUNB,KLF10,KMT2A,MAF,MAFF,MAFK,NFATC1,PBX3,RELA,REST,RFX2,RXRA,RXRG,SIX5,SNAI2,SRF,TAL1,TCF21,TCF4,TFAP4,TP73,USF1,USF2,XBP1,ZBTB7A,ZBTB7B,ZEB1,ZNF143,ZNF263"
"8","Bcell","P1_2020Oct, P3_2023Jan","2","CD107a","17","AR,ASCL2,E2F6,ESRRA,ETV6,FOXO3,GATA3,GMEB1,HSF2,MAF,MAFF,NFE2,NKX2-1,PAX5,SPI1,SRF,TFAP2A"
"9","Bcell","P1_2020Oct, P3_2023Jan","2","CD141","10","ARID3A,ESRRA,ETV6,FOXO3,GATA3,GMEB1,GTF2I,HSF2,SPDEF,ZNF263"
"10","Bcell","P1_2020Oct, P3_2023Jan","2","CD38","30","ARID3A,ASCL2,E2F1,E2F3,E2F6,EGR1,EHF,ESR1,ETV4,ETV6,FOXO3,GATA3,GMEB1,GTF2I,KLF5,MAFF,MEIS1,MYB,NFATC1,PPARG,SNAI2,SRF,TCF12,TCF21,TFAP2A,USF1,ZBTB7A,ZBTB7B,ZNF143,ZNF263"
