"","P1_2020Oct","P3_2023Jan"
"AHR",20,68
"AR",26,33
"ARID3A",144,163
"ARNT",119,46
"ARNTL",64,129
"ASCL2",30,44
"ATF1",44,166
"ATF2",130,127
"ATF3",1,3
"BACH1",59,110
"BACH2",67,100
"BARX2",154,135
"BATF",108,48
"BCL11A",81,57
"BCL6",100,128
"BHLHE40",37,117
"CEBPA",27,10
"CEBPD",141,148
"CLOCK",92,146
"CTCF",134,179
"E2F2",142,19
"E2F3",175,70
"E2F4",35,115
"E2F6",180,176
"E2F7",51,77
"E2F8",14,64
"EBF1",41,150
"EGR1",3,152
"EGR2",98,102
"EHF",29,4
"ELF1",118,11
"ELK1",172,131
"ELK3",57,130
"ELK4",86,52
"EPAS1",135,66
"ESR1",114,59
"ESR2",107,65
"ESRRA",85,89
"ETS2",74,154
"ETV1",151,75
"ETV5",43,63
"ETV6",158,160
"ETV7",17,49
"FOS",99,29
"FOSL1",176,161
"FOSL2",149,145
"FOXD2",76,106
"FOXH1",55,94
"FOXK1",159,113
"FOXM1",72,71
"FOXO3",73,32
"FOXP1",115,181
"FOXP2",166,50
"FOXP3",89,126
"GATA1",171,27
"GATA2",40,76
"GATA3",88,177
"GATA4",162,18
"GLI2",68,67
"GLIS1",168,88
"GMEB1",170,81
"GMEB2",22,6
"GRHL2",62,20
"GTF2B",95,155
"GTF2I",178,12
"HEY1",167,45
"HIF1A",9,120
"HINFP",157,91
"HNF1B",105,23
"HNF4A",103,38
"HNF4G",4,171
"HOXA1",25,170
"HOXA4",125,142
"HOXB13",110,22
"HOXC6",71,172
"HSF1",56,109
"HSF2",146,123
"IRF2",113,136
"IRF3",91,98
"IRF4",75,112
"JUN",152,175
"JUNB",7,125
"JUND",48,165
"KLF1",5,5
"KLF10",19,168
"KLF3",148,116
"KLF4",173,53
"KLF9",36,1
"KMT2A",42,105
"LHX2",90,107
"MAF",124,60
"MAFF",47,51
"MAFK",15,137
"MECOM",112,83
"MEF2A",140,40
"MEF2C",32,92
"MEIS1",18,174
"MITF",143,99
"MNT",79,85
"MXI1",169,104
"MYB",127,7
"MYBL2",104,13
"MYC",128,138
"NANOG",80,72
"NFAT5",61,149
"NFATC1",165,54
"NFE2",120,43
"NFIC",28,16
"NFYA",84,90
"NFYB",46,114
"NKX2-1",161,25
"NR2C2",13,78
"NR2F2",174,108
"NRF1",156,73
"PAX5",147,37
"PAX6",131,156
"PBX1",31,79
"PBX3",138,169
"PGR",145,119
"POU2F1",109,141
"POU2F2",97,41
"PPARG",12,143
"PRDM1",65,62
"RARG",132,17
"RBPJ",93,87
"RELA",87,28
"REST",133,122
"RFX2",101,121
"RFX5",122,30
"RUNX1",66,144
"RUNX2",33,132
"RUNX3",82,47
"RXRA",50,118
"RXRG",106,157
"SETDB1",150,93
"SIX5",153,21
"SMAD3",34,80
"SOX17",53,15
"SP1",70,97
"SP4",137,24
"SPDEF",63,36
"SPI1",11,74
"SPIB",49,134
"SREBF1",121,84
"SRF",6,2
"STAT1",60,167
"STAT2",52,133
"STAT3",78,55
"STAT4",139,82
"STAT5A",160,86
"STAT5B",54,151
"TBP",21,34
"TCF12",96,58
"TCF21",111,35
"TCF3",123,153
"TCF4",102,124
"TCF7L2",136,111
"TEAD4",177,178
"TFAP2A",2,139
"TFAP2C",38,158
"TFAP4",163,159
"TFDP1",58,56
"THAP1",10,95
"TP63",164,103
"TP73",94,42
"USF1",181,96
"USF2",24,69
"VDR",39,140
"VEZF1",45,9
"XBP1",69,101
"YY1",155,164
"ZBTB33",83,14
"ZBTB7A",8,147
"ZBTB7B",77,26
"ZEB1",23,61
"ZFX",16,8
"ZKSCAN1",117,162
"ZNF143",116,173
"ZNF263",129,180
"ZNF384",179,39
"ZNF76",126,31
