"","P1_2020Oct","P3_2023Jan"
"AHR",135,141
"AR",40,130
"ARID3A",44,58
"ARNT",124,105
"ARNTL",59,9
"ASCL2",4,42
"ATF1",107,137
"ATF2",158,123
"ATF3",75,43
"BACH1",15,21
"BACH2",127,26
"BARX2",35,14
"BATF",46,145
"BCL11A",26,65
"BCL6",91,114
"BHLHE40",17,144
"CEBPA",166,75
"CEBPD",34,67
"CLOCK",1,41
"CTCF",53,171
"E2F2",145,97
"E2F3",71,147
"E2F4",84,45
"E2F6",147,176
"E2F7",36,139
"E2F8",31,127
"EBF1",62,72
"EGR1",115,60
"EGR2",80,15
"EHF",173,134
"ELF1",119,172
"ELK1",178,165
"ELK3",3,39
"ELK4",33,36
"EPAS1",106,19
"ESR1",57,63
"ESR2",164,27
"ESRRA",29,8
"ETS2",123,92
"ETV1",126,98
"ETV5",118,61
"ETV6",180,181
"ETV7",73,10
"FOS",176,33
"FOSL1",77,157
"FOSL2",79,38
"FOXD2",74,129
"FOXH1",122,46
"FOXK1",151,69
"FOXM1",51,142
"FOXO3",90,118
"FOXP1",92,108
"FOXP2",19,96
"FOXP3",105,179
"GATA1",42,81
"GATA2",101,166
"GATA3",7,115
"GATA4",88,78
"GLI2",96,16
"GLIS1",72,87
"GMEB1",163,161
"GMEB2",114,51
"GRHL2",87,85
"GTF2B",181,169
"GTF2I",102,77
"HEY1",177,109
"HIF1A",132,150
"HINFP",161,50
"HNF1B",97,143
"HNF4A",95,37
"HNF4G",49,7
"HOXA1",131,131
"HOXA4",149,178
"HOXB13",168,74
"HOXC6",154,111
"HSF1",104,23
"HSF2",175,124
"IRF2",43,11
"IRF3",116,80
"IRF4",50,83
"JUN",142,112
"JUNB",24,119
"JUND",179,136
"KLF1",5,110
"KLF10",159,175
"KLF3",93,44
"KLF4",170,151
"KLF9",110,89
"KMT2A",86,104
"LHX2",27,99
"MAF",157,25
"MAFF",125,48
"MAFK",66,20
"MECOM",117,121
"MEF2A",99,40
"MEF2C",55,138
"MEIS1",69,107
"MITF",128,18
"MNT",171,71
"MXI1",14,88
"MYB",64,55
"MYBL2",153,122
"MYC",129,149
"NANOG",48,57
"NFAT5",94,152
"NFATC1",10,49
"NFE2",47,31
"NFIC",78,168
"NFYA",136,5
"NFYB",162,34
"NKX2-1",39,54
"NR2C2",167,158
"NR2F2",81,116
"NRF1",112,35
"PAX5",108,3
"PAX6",103,162
"PBX1",100,47
"PBX3",121,90
"PGR",89,66
"POU2F1",56,93
"POU2F2",18,76
"PPARG",155,153
"PRDM1",38,102
"RARG",113,84
"RBPJ",45,126
"RELA",143,128
"REST",169,167
"RFX2",25,6
"RFX5",146,91
"RUNX1",68,17
"RUNX2",120,24
"RUNX3",140,68
"RXRA",41,62
"RXRG",111,120
"SETDB1",85,4
"SIX5",9,146
"SMAD3",83,173
"SOX17",52,2
"SP1",12,94
"SP4",109,148
"SPDEF",133,22
"SPI1",148,125
"SPIB",156,13
"SREBF1",61,86
"SRF",160,132
"STAT1",63,64
"STAT2",152,164
"STAT3",138,29
"STAT4",65,79
"STAT5A",134,180
"STAT5B",30,155
"TBP",70,100
"TCF12",174,133
"TCF21",8,52
"TCF3",60,163
"TCF4",172,103
"TCF7L2",58,113
"TEAD4",165,156
"TFAP2A",28,159
"TFAP2C",13,174
"TFAP4",137,70
"TFDP1",22,56
"THAP1",20,154
"TP63",23,30
"TP73",6,32
"USF1",16,140
"USF2",150,28
"VDR",32,177
"VEZF1",76,160
"XBP1",37,170
"YY1",67,135
"ZBTB33",98,12
"ZBTB7A",54,73
"ZBTB7B",141,101
"ZEB1",144,59
"ZFX",21,106
"ZKSCAN1",139,117
"ZNF143",130,53
"ZNF263",82,95
"ZNF384",11,82
"ZNF76",2,1
