"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",150,95,125
"AR",71,87,42
"ARID3A",85,140,75
"ARNT",109,134,85
"ARNTL",74,108,57
"ASCL2",28,4,49
"ATF1",33,97,142
"ATF2",177,170,175
"ATF3",3,3,3
"BACH1",121,55,141
"BACH2",96,113,94
"BARX2",152,90,139
"BATF",125,112,154
"BCL11A",13,47,73
"BCL6",120,121,148
"BHLHE40",124,84,78
"CEBPA",135,83,172
"CEBPD",66,26,83
"CLOCK",17,14,14
"CTCF",110,68,95
"E2F2",21,53,35
"E2F3",63,35,61
"E2F4",102,80,166
"E2F6",158,178,158
"E2F7",25,23,17
"E2F8",108,149,110
"EBF1",46,62,137
"EGR1",168,138,111
"EGR2",104,103,82
"EHF",162,166,176
"ELF1",36,70,5
"ELK1",118,65,153
"ELK3",7,21,77
"ELK4",31,133,112
"EPAS1",128,126,51
"ESR1",103,120,79
"ESR2",59,56,64
"ESRRA",14,11,11
"ETS2",153,125,124
"ETV1",160,164,118
"ETV5",44,89,18
"ETV6",179,173,179
"ETV7",55,67,62
"FOS",169,143,116
"FOSL1",165,153,123
"FOSL2",43,74,63
"FOXD2",56,106,59
"FOXH1",78,34,24
"FOXK1",170,161,173
"FOXM1",5,12,2
"FOXO3",52,36,53
"FOXP1",91,92,60
"FOXP2",95,32,72
"FOXP3",111,158,146
"GATA1",77,81,45
"GATA2",105,52,136
"GATA3",37,44,27
"GATA4",88,20,99
"GLI2",9,60,71
"GLIS1",23,51,52
"GMEB1",137,135,127
"GMEB2",10,2,8
"GRHL2",19,15,54
"GTF2B",180,176,177
"GTF2I",48,88,76
"HEY1",41,8,102
"HIF1A",131,148,106
"HINFP",122,124,93
"HNF1B",99,110,117
"HNF4A",106,79,58
"HNF4G",141,152,128
"HOXA1",159,156,132
"HOXA4",174,175,178
"HOXB13",34,96,108
"HOXC6",98,109,109
"HSF1",30,71,32
"HSF2",146,94,163
"IRF2",92,131,29
"IRF3",148,142,91
"IRF4",24,43,40
"JUN",22,63,103
"JUNB",75,105,130
"JUND",181,180,181
"KLF1",35,38,74
"KLF10",97,82,30
"KLF3",126,137,133
"KLF4",178,181,180
"KLF9",115,139,155
"KMT2A",80,19,38
"LHX2",154,116,100
"MAF",67,13,87
"MAFF",18,54,37
"MAFK",32,18,19
"MECOM",140,162,165
"MEF2A",133,160,90
"MEF2C",76,10,68
"MEIS1",58,73,101
"MITF",72,57,22
"MNT",40,119,10
"MXI1",130,45,69
"MYB",4,1,114
"MYBL2",50,64,7
"MYC",147,167,170
"NANOG",26,72,156
"NFAT5",69,41,47
"NFATC1",79,123,120
"NFE2",171,171,171
"NFIC",64,33,65
"NFYA",90,85,67
"NFYB",60,28,92
"NKX2-1",2,66,1
"NR2C2",6,9,56
"NR2F2",173,151,168
"NRF1",68,31,26
"PAX5",84,59,28
"PAX6",161,146,157
"PBX1",157,99,55
"PBX3",62,40,34
"PGR",151,86,147
"POU2F1",70,129,96
"POU2F2",53,37,16
"PPARG",155,168,159
"PRDM1",47,42,36
"RARG",116,155,140
"RBPJ",142,147,70
"RELA",107,136,107
"REST",117,145,150
"RFX2",29,76,43
"RFX5",176,179,138
"RUNX1",12,7,20
"RUNX2",38,101,23
"RUNX3",86,77,81
"RXRA",123,25,39
"RXRG",156,177,121
"SETDB1",54,102,21
"SIX5",114,172,144
"SMAD3",145,122,98
"SOX17",94,111,31
"SP1",129,107,162
"SP4",83,128,104
"SPDEF",45,115,88
"SPI1",175,150,161
"SPIB",164,154,105
"SREBF1",61,30,80
"SRF",11,5,6
"STAT1",119,24,169
"STAT2",81,163,66
"STAT3",149,100,143
"STAT4",51,39,151
"STAT5A",163,141,131
"STAT5B",136,132,152
"TBP",144,159,89
"TCF12",20,22,48
"TCF21",15,6,9
"TCF3",172,169,135
"TCF4",73,46,97
"TCF7L2",89,130,167
"TEAD4",112,98,129
"TFAP2A",8,16,12
"TFAP2C",127,58,119
"TFAP4",1,93,86
"TFDP1",27,114,33
"THAP1",16,17,4
"TP63",134,50,115
"TP73",39,78,41
"USF1",166,165,149
"USF2",42,75,126
"VDR",138,118,44
"VEZF1",132,157,145
"XBP1",113,27,84
"YY1",167,174,174
"ZBTB33",65,61,25
"ZBTB7A",93,48,164
"ZBTB7B",100,69,113
"ZEB1",82,91,160
"ZFX",143,127,134
"ZKSCAN1",49,104,50
"ZNF143",57,49,46
"ZNF263",87,117,15
"ZNF384",139,144,122
"ZNF76",101,29,13
