"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",124,77,145
"AR",7,18,122
"ARID3A",41,59,9
"ARNT",118,114,65
"ARNTL",15,117,114
"ASCL2",77,70,79
"ATF1",129,24,44
"ATF2",117,133,150
"ATF3",102,29,124
"BACH1",38,73,77
"BACH2",30,30,26
"BARX2",92,50,151
"BATF",151,109,80
"BCL11A",72,22,63
"BCL6",173,154,171
"BHLHE40",51,69,38
"CEBPA",148,15,92
"CEBPD",45,39,119
"CLOCK",97,9,16
"CTCF",24,167,167
"E2F2",29,16,28
"E2F3",108,98,163
"E2F4",149,37,39
"E2F6",146,144,108
"E2F7",73,13,62
"E2F8",52,108,179
"EBF1",176,157,95
"EGR1",167,176,131
"EGR2",132,41,19
"EHF",153,173,166
"ELF1",55,12,18
"ELK1",172,158,90
"ELK3",56,27,25
"ELK4",144,113,144
"EPAS1",36,94,128
"ESR1",14,148,97
"ESR2",147,91,60
"ESRRA",70,6,84
"ETS2",161,166,170
"ETV1",34,149,85
"ETV5",106,162,10
"ETV6",175,179,180
"ETV7",58,127,146
"FOS",174,142,83
"FOSL1",136,28,53
"FOSL2",2,5,21
"FOXD2",101,63,165
"FOXH1",43,121,126
"FOXK1",57,115,177
"FOXM1",18,104,141
"FOXO3",31,88,49
"FOXP1",109,1,45
"FOXP2",155,110,5
"FOXP3",53,147,148
"GATA1",160,58,68
"GATA2",69,100,74
"GATA3",17,11,134
"GATA4",85,80,152
"GLI2",64,56,115
"GLIS1",87,124,137
"GMEB1",137,43,101
"GMEB2",4,32,176
"GRHL2",66,74,133
"GTF2B",180,180,67
"GTF2I",128,68,82
"HEY1",79,57,41
"HIF1A",138,165,175
"HINFP",164,163,98
"HNF1B",20,46,172
"HNF4A",163,174,130
"HNF4G",33,7,121
"HOXA1",63,83,107
"HOXA4",166,168,156
"HOXB13",96,62,135
"HOXC6",152,130,153
"HSF1",94,92,78
"HSF2",107,119,129
"IRF2",47,125,66
"IRF3",103,150,12
"IRF4",21,51,47
"JUN",50,155,43
"JUNB",100,82,24
"JUND",179,181,178
"KLF1",1,10,15
"KLF10",158,107,181
"KLF3",122,151,22
"KLF4",178,164,99
"KLF9",126,123,111
"KMT2A",62,31,139
"LHX2",105,95,138
"MAF",39,61,89
"MAFF",67,48,29
"MAFK",28,105,1
"MECOM",169,177,116
"MEF2A",78,55,102
"MEF2C",130,52,110
"MEIS1",74,81,7
"MITF",135,75,75
"MNT",119,93,2
"MXI1",25,21,23
"MYB",111,79,161
"MYBL2",120,60,3
"MYC",145,143,143
"NANOG",170,72,70
"NFAT5",44,128,73
"NFATC1",95,67,120
"NFE2",46,20,56
"NFIC",98,134,42
"NFYA",121,141,57
"NFYB",32,78,112
"NKX2-1",9,38,123
"NR2C2",134,160,162
"NR2F2",65,171,159
"NRF1",22,2,58
"PAX5",114,26,35
"PAX6",82,129,76
"PBX1",10,14,34
"PBX3",99,35,87
"PGR",54,135,174
"POU2F1",83,90,109
"POU2F2",93,45,30
"PPARG",125,153,147
"PRDM1",154,102,154
"RARG",26,84,71
"RBPJ",104,152,104
"RELA",35,96,32
"REST",60,85,125
"RFX2",23,17,48
"RFX5",171,172,164
"RUNX1",37,3,59
"RUNX2",91,53,158
"RUNX3",143,137,17
"RXRA",141,101,33
"RXRG",84,170,86
"SETDB1",123,49,51
"SIX5",150,132,88
"SMAD3",115,159,8
"SOX17",27,86,13
"SP1",49,138,94
"SP4",42,25,103
"SPDEF",159,87,132
"SPI1",181,178,113
"SPIB",59,71,54
"SREBF1",71,66,37
"SRF",8,4,149
"STAT1",116,54,105
"STAT2",112,161,96
"STAT3",131,146,140
"STAT4",48,8,36
"STAT5A",140,118,93
"STAT5B",127,33,11
"TBP",168,175,27
"TCF12",142,99,155
"TCF21",133,64,20
"TCF3",156,169,136
"TCF4",113,106,106
"TCF7L2",12,136,31
"TEAD4",90,120,4
"TFAP2A",40,140,173
"TFAP2C",177,40,169
"TFAP4",3,42,64
"TFDP1",81,89,14
"THAP1",61,44,118
"TP63",157,36,160
"TP73",5,47,117
"USF1",11,23,61
"USF2",76,156,6
"VDR",80,76,55
"VEZF1",162,19,40
"XBP1",75,122,157
"YY1",19,65,168
"ZBTB33",89,34,52
"ZBTB7A",68,116,69
"ZBTB7B",110,145,72
"ZEB1",13,131,127
"ZFX",86,103,142
"ZKSCAN1",139,126,81
"ZNF143",88,112,50
"ZNF263",165,139,100
"ZNF384",6,111,91
"ZNF76",16,97,46
