"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",142,96,92
"AR",92,5,25
"ARID3A",1,32,67
"ARNT",108,45,5
"ARNTL",75,99,26
"ASCL2",46,48,10
"ATF1",50,55,145
"ATF2",170,167,180
"ATF3",132,46,61
"BACH1",71,28,41
"BACH2",105,7,22
"BARX2",109,20,125
"BATF",77,151,124
"BCL11A",2,50,3
"BCL6",116,139,123
"BHLHE40",113,162,39
"CEBPA",163,137,132
"CEBPD",31,22,47
"CLOCK",42,25,2
"CTCF",87,121,137
"E2F2",49,8,101
"E2F3",154,115,82
"E2F4",117,75,43
"E2F6",38,156,140
"E2F7",5,76,13
"E2F8",11,81,138
"EBF1",6,98,116
"EGR1",140,93,173
"EGR2",98,12,166
"EHF",129,175,181
"ELF1",52,110,72
"ELK1",48,136,109
"ELK3",13,40,1
"ELK4",36,57,95
"EPAS1",120,125,144
"ESR1",20,140,80
"ESR2",62,17,32
"ESRRA",80,43,122
"ETS2",155,141,167
"ETV1",70,173,77
"ETV5",91,6,81
"ETV6",139,108,169
"ETV7",79,51,143
"FOS",89,171,160
"FOSL1",76,122,57
"FOSL2",111,100,73
"FOXD2",97,68,97
"FOXH1",131,73,49
"FOXK1",180,144,102
"FOXM1",135,109,24
"FOXO3",15,80,129
"FOXP1",18,107,64
"FOXP2",164,130,91
"FOXP3",41,169,94
"GATA1",160,85,66
"GATA2",147,154,27
"GATA3",74,91,68
"GATA4",94,23,170
"GLI2",73,16,107
"GLIS1",90,38,33
"GMEB1",66,113,58
"GMEB2",16,4,65
"GRHL2",43,15,111
"GTF2B",178,181,135
"GTF2I",22,41,59
"HEY1",130,118,48
"HIF1A",122,83,119
"HINFP",127,101,87
"HNF1B",156,157,121
"HNF4A",157,62,29
"HNF4G",4,97,86
"HOXA1",123,123,139
"HOXA4",173,179,134
"HOXB13",81,13,85
"HOXC6",148,111,127
"HSF1",23,65,155
"HSF2",152,29,103
"IRF2",103,103,35
"IRF3",166,168,154
"IRF4",54,60,74
"JUN",26,116,21
"JUNB",143,37,158
"JUND",181,177,179
"KLF1",33,53,46
"KLF10",65,44,172
"KLF3",145,158,168
"KLF4",177,153,52
"KLF9",159,117,88
"KMT2A",59,42,112
"LHX2",153,94,98
"MAF",150,39,36
"MAFF",96,59,28
"MAFK",61,2,30
"MECOM",30,147,100
"MEF2A",86,95,106
"MEF2C",58,35,63
"MEIS1",72,47,16
"MITF",10,155,159
"MNT",121,1,50
"MXI1",34,133,130
"MYB",24,87,69
"MYBL2",14,49,53
"MYC",162,170,44
"NANOG",107,11,34
"NFAT5",112,54,163
"NFATC1",57,164,128
"NFE2",64,120,133
"NFIC",63,88,177
"NFYA",124,63,60
"NFYB",47,71,176
"NKX2-1",101,24,17
"NR2C2",27,124,9
"NR2F2",179,127,93
"NRF1",40,56,20
"PAX5",126,69,110
"PAX6",100,79,164
"PBX1",82,152,141
"PBX3",133,114,113
"PGR",134,128,79
"POU2F1",8,119,7
"POU2F2",174,34,147
"PPARG",56,146,120
"PRDM1",19,74,15
"RARG",51,52,11
"RBPJ",175,174,157
"RELA",68,176,178
"REST",165,33,156
"RFX2",35,36,70
"RFX5",158,134,161
"RUNX1",55,67,18
"RUNX2",21,64,62
"RUNX3",151,163,89
"RXRA",106,19,151
"RXRG",161,180,150
"SETDB1",39,77,19
"SIX5",85,138,118
"SMAD3",136,30,115
"SOX17",88,10,99
"SP1",171,159,174
"SP4",125,92,75
"SPDEF",45,78,23
"SPI1",172,90,153
"SPIB",102,132,114
"SREBF1",118,27,8
"SRF",138,84,152
"STAT1",115,61,105
"STAT2",93,178,171
"STAT3",144,143,90
"STAT4",69,21,40
"STAT5A",146,112,175
"STAT5B",169,72,148
"TBP",167,145,136
"TCF12",176,160,162
"TCF21",78,3,83
"TCF3",7,166,104
"TCF4",29,82,165
"TCF7L2",28,58,31
"TEAD4",84,165,54
"TFAP2A",25,18,42
"TFAP2C",168,66,78
"TFAP4",37,102,55
"TFDP1",67,31,4
"THAP1",3,9,96
"TP63",104,150,84
"TP73",17,129,146
"USF1",119,131,142
"USF2",32,148,131
"VDR",137,70,108
"VEZF1",114,142,12
"XBP1",83,172,45
"YY1",128,161,149
"ZBTB33",60,135,117
"ZBTB7A",9,149,38
"ZBTB7B",99,26,71
"ZEB1",95,89,126
"ZFX",110,105,51
"ZKSCAN1",12,14,6
"ZNF143",53,106,56
"ZNF263",44,86,37
"ZNF384",141,104,76
"ZNF76",149,126,14
