"","P1_2020Oct","P3_2023Jan"
"ARID3A",0.382349416298162,0.328572193202099
"E2F6",0.463606660630634,-0.574160214498019
"E2F8",-0.383409658526771,-0.309137909982421
"ETS2",-0.309957266639548,-0.333270609723665
"ETV6",0.339589812226902,0.506664592605974
"FOXP3",-0.353827850603822,-0.373938925603108
"GATA3",-0.611330245334103,-0.484714674481192
"GMEB1",0.422418174581305,-0.547094558768677
"GTF2I",0.366711718213509,0.333641097178107
"MAFF",-0.425383703587065,0.311370034171823
"TP63",0.396883132788341,-0.44356547759429
"ZNF384",0.481833729174594,0.444458661795969
