"","P1_2020Oct","P3_2023Jan"
"ARID3A",-0.49006283608369,-0.4011275196074
"ASCL2",0.379097620312477,0.359234002552433
"E2F1",0.339305225201786,0.328930972249402
"E2F6",-0.313666913649198,0.331088664421998
"EGR2",0.304717823735762,0.303655866497396
"EHF",0.308328952099659,0.382083795397258
"ESR2",-0.301892255757229,0.30784580362325
"MAF",-0.432673188509786,-0.303606523924457
"POU2F1",-0.333104721848274,0.304081550728347
"SIX5",-0.449269682531067,0.353078725656967
"STAT2",0.31169513958616,0.303151568675662
"TP73",0.523065120157423,-0.314590682449599
"ZNF263",-0.427805863360386,-0.381975074473832
