"","P1_2020Oct","P3_2023Jan"
"AR",0.362681332793852,-0.576988631136669
"ARID3A",-0.435582736217712,-0.59691048588217
"ASCL2",0.538660855736771,0.438754994890117
"ATF1",0.412666767559612,-0.340973068990953
"BACH2",0.487223271483591,-0.468603069944352
"BHLHE40",-0.383007926462336,0.484919571606109
"CDX2",0.474535334034474,-0.621827648901668
"CEBPD",-0.402610194964807,-0.448587547941746
"E2F1",0.448699320202273,0.505435209856472
"E2F2",-0.513447691564235,-0.523918603153576
"E2F4",-0.388436866052051,-0.453431483237742
"E2F6",-0.452027016979469,0.604037560570099
"E2F7",0.49468696993339,-0.475269335179916
"E2F8",0.448645083293707,0.606352479924263
"EGR2",0.386347870283402,0.481908002027227
"EHF",0.48974266336538,0.600014050088566
"ESR2",-0.428323738358309,0.614644541122435
"ETV4",0.562332641959408,0.430435335303691
"ETV5",-0.343017829072033,-0.463980758069183
"ETV6",-0.364191218345229,-0.681584013675419
"ETV7",0.537238449070178,0.429826498132509
"FOSL1",-0.495967660806632,-0.345954159913425
"FOSL2",-0.473522328548671,0.415736266456584
"FOXH1",0.524221591014271,-0.402860363863841
"GATA1",-0.346261546119835,-0.419197773395488
"GATA3",0.494681721200303,0.573950299484328
"GFI1B",0.426028292421569,-0.564751673047749
"GLI2",-0.348887662241061,-0.498752218324995
"GMEB2",0.413907218145854,0.419762285882504
"GRHL2",0.394570885453128,-0.342238413276665
"GTF2B",0.338846835845517,0.527333276463927
"GTF2I",-0.468084641070478,-0.564744982529384
"HES1",0.359623070981792,-0.387407775385917
"HINFP",-0.435915155979893,0.667181836580744
"HNF1B",-0.442853981120985,-0.38312584363255
"HNF4G",0.435633473970887,-0.349927491507223
"HOXA1",0.472337864448692,-0.4159603988218
"HOXA4",0.377279809086659,0.57333309916519
"HOXB13",-0.341350481528044,0.473226218134315
"IRF4",-0.309369950828592,-0.367531917954173
"KLF1",0.532330883633778,-0.552573256994519
"KLF10",0.526287842272877,0.640387983159965
"KLF4",-0.374555716614476,0.421369682919608
"LHX2",0.349597990785509,-0.479717693577604
"MAF",-0.597908554823495,-0.711588479596428
"MAFF",0.466478528745838,-0.375390768088234
"MAFK",0.530430842256262,-0.442032512573993
"MYC",-0.464874165998894,-0.321874148004302
"NANOG",0.501263632491475,-0.329564062549656
"NFYA",-0.365195475942553,-0.526818942864646
"PAX6",-0.386991714875414,0.388072645648403
"PBX3",0.322596758207981,0.595974649625916
"PGR",-0.449199699423239,-0.415562312979104
"POU2F1",-0.348508003881097,0.674101505199369
"POU2F2",0.419654580876183,0.374101170673451
"RARG",0.353658760617197,-0.559281337969862
"RBPJ",0.474104937921335,0.505522186595212
"RELA",0.331027973123494,0.518279332486983
"REST",-0.383894962354049,0.546806030164202
"RFX5",0.330881008597056,0.491074012186779
"RUNX1",0.344762158034632,-0.566068032535991
"RXRA",-0.37326802743045,-0.534788186551723
"RXRG",-0.47334037246832,-0.570671945485656
"SMAD3",-0.318481751467727,-0.375966988982389
"SNAI2",-0.49598865573898,-0.516932029351304
"SP4",0.33246962514474,0.341594450884068
"SPIB",0.419383396333352,-0.419646038125919
"STAT2",0.455862091288413,0.501019467735811
"STAT4",-0.437073376414437,-0.411930197821902
"STAT6",-0.543132776326945,-0.304120857523739
"TAL1",0.475756539266063,0.306214153457074
"TBX21",-0.328625802947317,0.410184808843527
"TCF21",-0.536993508192782,0.440566452737342
"TCF4",-0.334122976067163,0.634315501429262
"TEAD4",-0.487221521905896,0.380109256164894
"TFAP2A",0.41505669069192,-0.441794999172048
"TFAP2C",-0.466184599692963,-0.368103120959554
"THAP1",0.451468901694545,-0.404052948762338
"TP73",0.524291574122099,-0.509132557567729
"USF2",0.481913303177183,0.312381138759678
"VDR",0.469596276199551,-0.460496670630799
"XBP1",-0.321562757789831,-0.67190283360179
"YY1",0.312708145071962,0.706400818919448
"ZEB1",0.422110987960927,-0.674550606244595
"ZFX",0.34173713819879,0.464708351941337
"ZKSCAN1",-0.4872197723282,0.649171797457938
"ZNF143",-0.337940554599151,-0.555497013519865
"ZNF263",-0.419290668715481,-0.495565858953837
"ZNF76",-0.340785367932337,-0.598545481307528
