"","P1_2020Oct","P3_2023Jan"
"AR",-0.362703442725487,-0.301959820091961
"BHLHE40",-0.347550376814637,0.507625518306094
"CEBPA",-0.392061305095199,-0.3505940343993
"ESRRA",-0.528255192956212,-0.372856734257628
"HOXA4",0.452383139349246,0.507694096119332
"HSF2",0.505433741421617,0.441692968766988
"JUN",0.443790978318396,-0.329278042889568
"PBX1",-0.354741128563118,-0.312349358797446
"RARA",0.568024773976827,0.527602569828104
"SPDEF",-0.415449618811426,-0.473733024900437
"SREBF1",0.535914830706784,-0.442327731696832
"TFAP4",0.358551702117423,-0.354613363306856
"TFDP1",-0.488569591518062,0.332264523024583
"YY1",0.339754272242561,0.518277659857391
