"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARNT",0.374859959076808,0.705363220004011,0.613135016630568
"BCL11A",-0.370823964269213,-0.716458491507353,-0.626455947040587
"BHLHE40",-0.432007216562892,0.695019920531838,0.494927642267434
"E2F4",0.325831334844118,-0.61279334864649,-0.548602384058067
"E2F6",-0.454589337968362,-0.660612448223546,-0.481805256905774
"E2F8",0.419486919979758,0.798696168915456,0.565177643839117
"ELK1",-0.481277419638732,-0.760331499854674,0.309167085601343
"ETS2",0.388038987040989,0.733861059232365,0.559868984547868
"FOXK1",0.438331829882731,-0.615643196639649,0.698936364780062
"FOXP2",-0.316160260500319,0.345998327764752,0.599531371252142
"FOXP3",0.494480209456338,0.676610380887781,0.456731899077318
"HNF4A",-0.328196079294185,-0.644643133637181,-0.451746478871204
"HSF1",-0.363614001892148,-0.701379967986595,-0.595941547285639
"KLF4",0.323855140700975,0.683705742089573,0.448566087225271
"MAFK",0.335913401245297,-0.417708183168751,-0.349412187136729
"MITF",0.304028514224109,0.692371894057979,0.566513118707263
"PBX1",-0.366017909396933,-0.646686763391867,-0.533181599131651
"TCF21",-0.348141515038173,0.735463458025281,-0.497437622812534
"USF2",-0.431077864073398,-0.405052158582824,0.408786579464664
