"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"EHF",0.330097886708927,0.380467489473714,-0.767014921178312
"FOXD2",-0.424106060819796,-0.322774208176455,0.599184397576363
"GLI2",0.733337779037394,0.377707192840873,0.814303546958834
"KLF3",-0.556674391077472,0.407989011643101,-0.748587022612437
"MAX",-0.348133766105525,-0.32934477073549,-0.472897911226975
"NANOG",-0.596529273037617,0.381341363288098,-0.804915961691775
"NRF1",-0.648599923824571,0.42919310850447,-0.686359395639838
"REST",-0.560473416185868,0.361612066063095,-0.747584279945352
"SNAI2",0.717236806838861,-0.336441418537946,-0.542457185671227
"SPDEF",0.530871182732543,-0.441874184183734,0.750227687296194
"STAT1",-0.677825127375833,-0.338508339222346,-0.687282895039001
"TCF3",-0.641948808572685,-0.300916356849412,0.67891710921107
"TEAD4",0.405583376828563,0.48223306676997,-0.785046055008264
"XBP1",-0.513164627413665,-0.736893543681168,-0.405941599905127
"YY1",0.711505952327518,0.499252694812336,-0.736429624643285
"ZNF263",0.5772345754374,-0.327581614752312,0.627753515049023
"ZNF384",0.71791340879916,-0.319463613171835,0.816643279848697
