"","P1_2020Oct","P3_2023Jan"
"AHR",-0.323595998595999,-0.311378353376503
"ATF1",0.313416988416988,-0.385507246376811
"BACH2",0.314513864513864,0.517113783533765
"BARX2",-0.360995085995086,-0.3718162195498
"CEBPA",-0.329738504738505,-0.407708911501696
"CTCF",-0.312048087048087,-0.32531606537157
"EBF1",0.317532467532467,0.337526981190256
"ESR1",0.388846963846964,0.344310823311748
"ESR2",0.36475078975079,0.315325316065372
"ETV1",-0.366619866619867,-0.381066913351835
"HNF4A",0.323218673218673,0.370582793709528
"HNF4G",-0.415996840996841,0.371939562133827
"JUND",-0.37512285012285,-0.434104224483503
"MEF2C",-0.302492102492103,-0.506012950971323
"MEIS1",-0.318111618111618,-0.487758248535307
"NFYA",0.383450333450333,-0.423866790009251
"NR5A2",-0.377623727623728,-0.301387604070305
"RBPJ",-0.357923832923833,0.325192722787542
"RUNX1",0.371323271323271,0.309281529448042
"RXRG",-0.391154791154791,0.487264878199198
"TFAP2A",0.36953316953317,0.402405180388529
"THAP1",-0.373806598806599,-0.376256552574776
"TP63",0.302176202176202,0.302497687326549
"ZEB1",0.320533520533521,0.488251618871415
