"","P1_2020Oct","P3_2023Jan"
"E2F4",0.419430579623319,0.314461917977182
"E2F7",-0.32724089761444,-0.413876040703053
"ELK3",0.365572812710954,-0.306321307431391
"ETV1",-0.336109678428413,-0.412889300030836
"FOS",-0.357471986692847,0.329633055812519
"FOXO3",-0.361592612711808,-0.303731113166821
"GATA1",0.38944084776647,0.409435707678076
"HNF4G",-0.384012504437977,0.302867715078631
"HOXB13",0.36376043939271,0.372062904717854
"IRF2",0.32276920654594,0.310391612704286
"TCF7L2",-0.435311884801829,-0.304841196423065
"TFAP4",0.317182883945154,0.309158186864015
"TFDP1",-0.303574724962408,0.419919827320382
"TP63",0.33119476773487,0.458279370952821
"VDR",-0.368903542368453,0.404625346901018
"ZBTB33",0.385228067172005,0.355905026210299
