"","P1_2020Oct","P3_2023Jan"
"AR",0.424727974727975,-0.421523280912735
"ARID3A",-0.807792207792208,-0.877644156645082
"ARNTL",-0.628676728676729,-0.855072463768116
"ASCL2",-0.848280098280098,-0.793277829170521
"ATF1",-0.43452965952966,0.637002775208141
"ATF2",0.603782028782029,0.728029602220166
"BACH1",0.602614952614953,-0.691890225100216
"BACH2",-0.645226395226395,-0.610854147394388
"BARX2",0.705159705159705,0.308171446191798
"BATF",0.791698841698842,0.65340733888375
"BCL11A",-0.314391014391014,-0.794511255010792
"BCL6",0.873288873288873,0.555843354918286
"BHLHE40",0.688680238680239,0.835831020659883
"CDX2",0.876386451386451,0.569904409497379
"CEBPD",0.438908388908389,0.432870798643232
"CLOCK",0.664794664794665,0.756768424298489
"CTCF",0.648394173394173,0.729386370644465
"E2F2",0.820428220428221,0.385753931544866
"E2F3",-0.65963495963496,0.718162195497996
"E2F8",0.537820287820288,0.90440949737897
"EBF1",-0.574833274833275,-0.376133209990749
"EGR1",-0.445498420498421,-0.480851063829787
"ELK1",0.911144261144261,0.961763798951588
"ELK4",-0.793559143559144,0.887264878199198
"EPAS1",0.620779220779221,0.324082639531298
"ESR1",-0.710433485433485,-0.755781683626272
"ESR2",-0.903185328185328,-0.797101449275362
"ETS2",-0.544076869076869,0.663644773358002
"ETV6",0.465795015795016,-0.311871723712612
"FOS",0.616505791505792,0.496268886833179
"FOSL1",0.46508424008424,-0.808572309589886
"FOXO3",0.809871884871885,0.557323465926611
"FOXP2",0.822753597753598,0.733950046253469
"FOXP3",0.573815373815374,-0.463213074313907
"GATA1",-0.743339768339768,0.343940795559667
"GATA2",-0.710802035802036,0.85531914893617
"GATA4",-0.91475078975079,-0.680542707369719
"GLI2",-0.896560196560197,-0.838914585260561
"GLIS1",-0.664970164970165,0.393277829170521
"GMEB1",0.770454545454546,0.67708911501696
"GRHL2",0.322569322569323,-0.661671292013568
"GTF2I",0.395121095121095,-0.323342584027135
"HNF1B",0.584661284661285,-0.308048103607771
"HNF4G",0.823736398736399,-0.517237126117792
"HOXA1",0.768348543348543,-0.54918285538082
"HOXA4",0.48489820989821,0.482577860006167
"HOXB13",-0.787829062829063,0.405118717237126
"HSF1",-0.835775710775711,-0.53586185630589
"HSF2",0.899648999649,0.617267961763799
"IRF2",-0.673209898209898,-0.548196114708603
"IRF4",-0.364347139347139,-0.824483502929386
"JUN",-0.696147771147771,-0.672155411655874
"JUNB",-0.515970515970516,-0.542645698427382
"JUND",0.859064584064584,0.849892075238976
"KLF1",-0.923183573183573,-0.775516497070614
"KLF10",0.409178659178659,-0.846191797718162
"KLF4",0.642242892242892,0.533024976873265
"KMT2A",-0.534643734643735,0.604070305272895
"MAFF",0.776456651456651,-0.681652790625964
"MAFK",-0.597955422955423,0.943879124267653
"MAX",-0.839355914355914,0.540795559666975
"MEF2A",0.7252106002106,-0.640579710144927
"MEF2C",0.561530361530362,0.525007708911502
"MEIS1",0.5995436995437,0.452975639839655
"MNT",0.868497718497719,0.856429232192414
"MYB",-0.943445068445068,-0.816219549799568
"MYC",-0.610082485082485,-0.576934936786926
"NFAT5",0.735328185328185,-0.426827012025902
"NFE2",-0.712460512460512,-0.334073388837496
"NFIC",0.401623376623377,-0.382793709528215
"NKX2-1",-0.416339066339066,-0.759851988899167
"NR5A2",0.741330291330291,0.499475794017885
"NRF1",-0.637144612144612,-0.827197039777983
"PAX5",-0.312592137592138,-0.640333024976873
"POU2F1",-0.816663741663742,-0.697563983965464
"PPARG",0.831905931905932,0.821769966080789
"RFX2",-0.622613197613198,-0.340733888374961
"RFX5",0.56017901017901,-0.821893308664816
"RUNX1",-0.538364338364338,-0.859759481961147
"RUNX2",-0.801833976833977,-0.893185322232501
"RXRA",-0.549447174447175,-0.562503854455751
"RXRG",0.857028782028782,-0.43077397471477
"SETDB1",-0.761381186381186,-0.645760098674067
"SIX5",-0.937048087048087,0.521307431390688
"SMAD3",0.603053703053703,-0.496022201665125
"SP1",0.717541242541243,0.881221091581869
"SP4",0.768102843102843,0.581005242059821
"SPI1",0.703413478413478,-0.392537773666358
"SPIB",-0.664434889434889,-0.426703669441875
"SREBF1",0.798569673569674,0.87641073080481
"STAT1",0.797411372411372,0.883934628430466
"STAT2",0.370919620919621,-0.880234350909652
"STAT3",-0.859424359424359,0.88245451742214
"TCF12",-0.7499648999649,-0.905519580635214
"TCF3",0.881651456651457,0.349614554424915
"TCF4",0.757046332046332,0.859759481961147
"TCF7L2",0.85529133029133,-0.566944187480728
"TEAD4",-0.602088452088452,-0.373913043478261
"TFAP2A",-0.846718146718147,-0.740980573543016
"TFAP4",-0.810845910845911,-0.413506012950971
"THAP1",0.406203931203931,0.906506321307431
"TP73",-0.885503685503686,-0.760962072155412
"USF1",0.746674271674272,0.560037002775208
"USF2",0.452755352755353,0.506753006475486
"XBP1",0.861504036504037,0.4281837804502
"YY1",0.857564057564058,0.853098982423682
"ZBTB33",-0.820551070551071,0.45531914893617
"ZBTB7B",-0.804475254475254,-0.672525439407956
"ZEB1",-0.776219726219726,-0.60431699044095
"ZKSCAN1",-0.721568971568971,-0.780450200431699
"ZNF263",0.738767988767989,0.647486894850447
"ZNF384",-0.392049842049842,0.829787234042553
"ZNF76",0.755931905931906,-0.519703977798335
