"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.442190762603432,0.707430371406744,0.460835925572742
"BACH2",-0.317648062052749,-0.567529799862281,-0.521581082811051
"BATF",0.323281130321344,0.628610345902904,0.312260153482528
"BCL11A",-0.454089542878301,-0.584354497631901,-0.327739081316488
"E2F4",0.402651116686525,0.665885623534928,0.342719504924649
"EGR1",-0.330566673709699,0.590471947864579,0.309430098002228
"FOXD2",-0.41398373045112,-0.43370562486697,-0.305000352735053
"FOXP1",-0.389850489367017,-0.344482270958872,-0.30749595081146
"FOXP3",0.444326173916575,0.520107085339913,0.373880826565583
"GRHL2",0.34459327074431,0.744706461536077,0.318017015551499
"HSF1",-0.342304295283945,-0.543039370527643,-0.318332226697733
"MAFF",-0.414461793930625,-0.612196207537907,-0.322816246346932
"MECOM",0.348275929969418,0.312408127148789,0.320763896590675
"MEF2A",-0.455448371489192,0.63111809628089,-0.407293553536867
"MITF",-0.331593339154617,0.756776063937585,-0.399934534957174
"MNT",-0.306324654603751,-0.653053492407973,-0.358674901133288
"MYBL2",-0.433193292048796,-0.615382506016603,-0.460482922538252
"PBX1",-0.433288584303438,-0.470051089605163,-0.357468485907791
"POU2F2",-0.416044427349024,-0.368949724675133,-0.302467598823528
"RARG",0.30361115977377,-0.373931326237782,0.323363210073015
"REST",0.461878288936289,-0.583293488991873,0.390820552136097
"SMAD3",0.354322168380928,-0.70612895384043,0.315049391786294
"SOX17",-0.39683183812295,-0.578952315864472,-0.334548175455743
"STAT4",0.441003143909793,0.721866530209253,0.348480486809888
"TCF3",0.401878539500012,0.680949887896816,0.308971607007627
"TCF4",0.420790611523422,0.603090640462067,0.308183653402053
"VDR",-0.375886021624239,0.756283622859608,-0.312825201135662
"YY1",0.41652120078171,0.618105500473633,0.34452236687319
"ZNF76",-0.497672473441465,-0.612072707946785,-0.361695465829014
