"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ATF1",-0.833129521923798,0.424116434197243,-0.340425531914894
"BARX2",-0.547041897543233,-0.58584536911314,-0.530989824236818
"E2F3",-0.54397206194959,0.385731568435639,-0.499190564292322
"ELK3",0.548640205681572,-0.591975409292101,0.317298797409806
"FOS",-0.620073426578188,0.403063717017892,0.463112858464385
"FOXD2",-0.452048849373382,-0.491641700790359,0.717969472710453
"FOXP1",-0.556150361073019,-0.592631284248527,-0.483580018501388
"JUN",0.617687198963966,-0.4992604346969,-0.502659574468085
"MNT",-0.662023942620506,-0.626399519118725,-0.446345975948196
"MYBL2",-0.44535330412793,-0.507964852132152,-0.335800185013876
"NR2C2",0.339097065524233,0.349622944232396,0.330827937095282
"RELA",-0.67717321291665,0.394539185716673,0.342738205365402
"SRF",0.422780214587541,-0.494062327661098,0.435476410730805
"STAT5A",-0.481452163101783,-0.612843426092939,0.491558741905643
"TFAP4",0.452667637153957,-0.72371029569274,0.435360777058279
"ZBTB7A",-0.615376277168991,0.628997144666269,-0.429347826086957
"ZFX",0.698738729660279,-0.344102811593482,-0.309782608695652
