"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ATF3",-0.423675557179394,0.495273087933638,0.464880725632921
"BATF",-0.382974059188893,0.495164889660302,0.46532000398096
"CTCF",-0.397552064303982,0.760358857606564,0.534439079300037
"EGR2",-0.363573255389112,-0.583238284155715,0.375155377556308
"FOSL2",0.509316770186335,-0.69661204156617,-0.412429518132243
"GLI2",0.351808549506759,0.332488785699795,0.568614934777461
"GMEB2",0.435951772013153,-0.30262606225909,-0.533334019705752
"IRF3",0.537376689806357,0.434213195681086,-0.341044041086253
"KLF1",-0.423858238947753,0.34902508847463,0.548679934245522
"KLF4",-0.380891487029595,0.601866420215044,-0.480730437528098
"MEIS1",0.534965290464012,-0.600144264364448,0.438721700007207
"NFE2",0.350420168067227,-0.475310506503167,0.476472183041797
"NR2C2",0.337851662404092,-0.528300610869418,-0.497256912628223
"RFX2",-0.342382170259408,-0.340666771859432,-0.33365867385985
"RUNX1",0.330873218852759,-0.371927056330726,-0.615171575945392
