"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"BACH1",-0.387577639751553,-0.65025809796452,0.477258765833754
"CEBPB",-0.425940811107052,0.404170141784821,-0.460394595503574
"FOXK1",-0.526233101936427,0.515001239771882,0.568901838448524
"FOXO3",-0.512130069419072,-0.418145752090706,-0.532185032276663
"HOXA1",0.389952502740227,-0.378527151004215,0.388126443526993
"HOXA4",-0.421519912312751,0.400960259675856,-0.342250683798522
"LHX2",-0.373876507124589,-0.786876451096635,0.691886048451029
"NKX2-1",-0.472780416514432,0.43410499740775,0.842494002820991
"NR2C2",-0.657983193277311,-0.513134819556838,-0.467563069045633
"NRF1",-0.370259408111071,-0.319036133715033,-0.431135912034511
"PGR",-0.407380343441725,-0.322543561075671,-0.3000291708278
"RARA",0.308293752283522,-0.48018844532606,0.415479757161438
"SOX17",0.607051516258677,-0.331100241191984,-0.463175776544595
"STAT1",0.762257946656924,0.37383855915966,0.395160388074966
"TCF12",0.609937888198758,-0.358609652187634,-0.474411693040527
"ZNF384",-0.627913774205334,0.326303451074093,0.300023679848449
