"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARNTL",-0.500585803813503,0.328781023354847,-0.383521155273635
"BHLHE40",0.482291657406996,0.488497238671901,-0.358499223969229
"CEBPA",-0.335362460553802,0.427315523321578,0.508815902364725
"EGR2",0.373899284412641,-0.426633508550136,-0.510925163641271
"GATA4",0.334455753589048,-0.552473551134473,0.544226041857461
"GRHL2",-0.302351215609583,0.400093153237075,-0.48785825147253
"KLF10",0.416336726076715,0.530491050635438,-0.569089874967465
"MYB",-0.339447975465576,-0.442286579280059,-0.346807669690455
"PAX6",-0.387556780301347,-0.422416661121831,-0.389243538700317
"RUNX1",-0.540594693097471,-0.319590458447003,0.468038136369333
"RUNX3",-0.480773367705231,0.386394637035066,0.338663684651943
"RXRA",-0.521248055469132,0.453440015969126,-0.399816837457704
"THAP1",-0.332489443975288,0.4569831658793,0.4521164913769
