"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",-0.369920440908485,0.58664082773305,-0.405354130315329
"AR",0.388623494377528,0.3459977377071,0.435489188589938
"ATF1",0.717206986977199,-0.436672433295629,-0.466484146799958
"E2F1",-0.391155162451665,0.398288309268747,-0.30855947480551
"FOSL2",-0.842065869594204,-0.364778095681682,-0.386509596753203
"HNF4G",-0.437126983421485,-0.432372413334221,-0.402384969103371
"HOXC6",0.391336503844615,0.658576751613547,-0.411477543308301
"MAX",0.340507578114583,0.50995575221239,-0.44060231556014
"NANOG",-0.426474065514023,0.672192095282454,-0.507169367510821
"NFATC1",-0.650139117294102,-0.444390844367556,-0.371906722065302
"NFIC",0.644446419840882,0.602085967130215,0.576875247028429
"PAX6",-0.563390372905463,-0.615601503759399,-0.384986455612004
"PBX1",-0.306774523312147,0.422358440348659,0.430437758476088
"REST",-0.670122227654563,0.381628850888283,-0.363920835221193
"RUNX1",-0.390291124049958,-0.4217429636037,0.358198451794511
"RXRA",-0.313469931996978,0.709669638698516,-0.363643199367607
"TP73",-0.543858838170585,-0.504083771375341,-0.475214251973817
