"","P1_2020Oct","P2_2021Mar"
"AHR",-0.542337360431122,0.331157130053304
"CEBPB",-0.304409848191328,0.381782159535827
"E2F7",-0.510408227959565,-0.379234869569319
"EGR1",0.598235356274876,0.3729515543186
"ESR2",-0.550632242612095,0.329760837775367
"FOXK1",0.458014863865309,-0.499976413981792
"GLIS1",-0.36029023282026,-0.403273739327327
"GMEB2",-0.613398612236272,-0.301589697627247
"HES1",-0.493325349582614,-0.317382895419595
"HEY1",-0.374026980381107,-0.460031133544035
"HOXB13",-0.377760557923286,0.365177602717109
"JUNB",0.459247648902821,0.527996603613378
"JUND",0.584833221795639,0.469842917118732
"KMT2A",0.35213624035786,-0.46167272041134
"MNT",-0.404423937163185,-0.406292749658003
"MXI1",-0.452344052692755,0.44635124298316
"NFAT5",-0.415184389419182,0.505523845464409
"NFE2",0.426790179986615,0.493108165479504
"NFYB",0.498661547673558,0.470824095476202
"NRF1",-0.467912366595048,-0.417614038398038
"PAX6",-0.324909302243669,-0.445841784989858
"PBX1",-0.305219964073122,-0.542921835935657
"SMAD3",0.454792011552957,0.390820321713288
"SOX17",0.476048747842626,-0.47572998726355
"STAT5A",0.693353527526329,-0.45833294023303
"TFDP1",-0.499066605614455,-0.365951224114345
"THAP1",-0.59619245535557,-0.363649228737205
"USF1",0.500017611214822,0.543299212226992
"ZNF76",0.336849705892712,0.303212415679985
