"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ATF2",-0.532441575642488,0.694841628959276,-0.357537344834841
"BATF",-0.433839850637901,0.496561085972851,-0.375131495897328
"JUN",-0.380869762951497,0.3310407239819,0.524142646749421
"KLF1",-0.348583373891952,0.553212669683258,-0.519895329265727
"NFE2",-0.300573671738489,-0.431131221719457,0.643856511676836
"RUNX3",-0.384267112412533,-0.323800904977376,-0.424113717652009
"RXRG",0.394670597528185,-0.364072398190045,0.433647170208289
"SP2",0.324926795018072,0.313031674208145,-0.377419524510835
"SPDEF",0.39032218170793,-0.421176470588235,0.352750894172102
"STAT4",0.471402982454741,0.373484162895928,-0.535872080791079
"TCF3",0.627213503227402,-0.319547511312217,0.56916684199453
